Item	Gloss	Current_Site_Code	Current_Review_Status	Current_Reviewed_Transcription	Prior_Source_Key	Prior_Site_Code	Prior_Reviewed_Transcription	Match_Status	Integration_Disposition	Notes
31	mortar	DUM	attested	dʒʌn̪t̪a	mathew-chamberlain2022bonda-didayi	DUM		current-attested-prior-unattested	checked-2002-list-current; 1997-list-superseded-audit-only	the checked current list supplies a response where the prior list does not
32	pestle	DUM	attested	dʒʌn̪t̪a	mathew-chamberlain2022bonda-didayi	DUM		current-attested-prior-unattested	checked-2002-list-current; 1997-list-superseded-audit-only	the checked current list supplies a response where the prior list does not
33	hammer	DUM	attested	mʊtɭa	mathew-chamberlain2022bonda-didayi	DUM	mʊʈɭa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
34	knife	DUM	attested	nsʊʔ	mathew-chamberlain2022bonda-didayi	DUM	n̩su	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
35	axe	DUM	attested	tʌŋgia	mathew-chamberlain2022bonda-didayi	DUM	ʈʌindʒa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
36	rope	DUM	attested	gigei	mathew-chamberlain2022bonda-didayi	DUM	gɪgei	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
37	thread	DUM	attested	sut̪a	mathew-chamberlain2022bonda-didayi	DUM	suta̪	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
38	needle	DUM	attested	sʊdʒɪ	mathew-chamberlain2022bonda-didayi	DUM	sudʒɪ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
39	cloth	DUM	attested	mpo	mathew-chamberlain2022bonda-didayi	DUM	m̩pɔ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
40	ring	DUM	attested	oɾt̪i	mathew-chamberlain2022bonda-didayi	DUM	oɾtɪ̪	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
41	sun	DUM	attested	siŋi	mathew-chamberlain2022bonda-didayi	DUM	çɪni	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
42	moon	DUM	attested	ʌɾke	mathew-chamberlain2022bonda-didayi	DUM	ʌɾke	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
43	sky	DUM	attested	kɪt̪ʊŋ	mathew-chamberlain2022bonda-didayi	DUM	kɪtʊ̪ŋ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
44	star	DUM	attested	mʊmoɾt̪oŋ	mathew-chamberlain2022bonda-didayi	DUM	mʊmoɾto̪	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
45	rain	DUM	attested	d̪aʔ	mathew-chamberlain2022bonda-didayi	DUM	ɖɐguɾɔ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
46	water	DUM	attested	d̪aʔ	mathew-chamberlain2022bonda-didayi	DUM	ɖɐ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
47	river	DUM	attested	kɪn̪d̪aʔ	mathew-chamberlain2022bonda-didayi	DUM	kɪnɖɐ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
48	cloud	DUM	attested	d̪aʔɲuɾgʊt̪a	mathew-chamberlain2022bonda-didayi	DUM	seputa̪m	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
49	lightning	DUM	attested	ʊŋleid̪a	mathew-chamberlain2022bonda-didayi	DUM	ʊŋleiɖa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
50	rainbow	DUM	attested	oŋt̪ɪbu	mathew-chamberlain2022bonda-didayi	DUM	gɪti̪bu	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
51	wind	DUM	attested	ʊɪd̪a	mathew-chamberlain2022bonda-didayi	DUM	uiɖa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
52	stone	DUM	attested	bɪɾe	mathew-chamberlain2022bonda-didayi	DUM	bʊɾe	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
53	path	DUM	attested	kʊɾʊŋ	mathew-chamberlain2022bonda-didayi	DUM	kʊɾʊŋ	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
54	sand	DUM	attested	bali	mathew-chamberlain2022bonda-didayi	DUM	bali	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
55	fire	DUM	attested	sʊŋo	mathew-chamberlain2022bonda-didayi	DUM	suŋɔː	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
56	smoke	DUM	attested	mʊkʔsɪŋ	mathew-chamberlain2022bonda-didayi	DUM	mʊkʔsɪŋ	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
57	ash	DUM	attested	ʊksoŋ	mathew-chamberlain2022bonda-didayi	DUM	ʊkiŋ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
58	mud	DUM	attested	lod̪ɪ	mathew-chamberlain2022bonda-didayi	DUM	lodi̪	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
59	dust	DUM	attested	d̪ʊli	mathew-chamberlain2022bonda-didayi	DUM	ɖʊli	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
60	gold	DUM	attested	suna	mathew-chamberlain2022bonda-didayi	DUM	soɾsa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
61	tree	DUM	attested	sʊlop	mathew-chamberlain2022bonda-didayi	DUM	sʊɭop	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
62	leaf	DUM	attested	ʊla	mathew-chamberlain2022bonda-didayi	DUM	ʊɭa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
63	root	DUM	attested	reʔgi	mathew-chamberlain2022bonda-didayi	DUM	ɾegi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
64	thorn	DUM	attested	girʌi	mathew-chamberlain2022bonda-didayi	DUM	gɪɾʌi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
65	flower	DUM	attested	sari	mathew-chamberlain2022bonda-didayi	DUM	saɾi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
66	fruit	DUM	attested	po:l	mathew-chamberlain2022bonda-didayi	DUM	poːl	length-mark-rendering-equivalent	checked-2002-list-current; 1997-list-superseded-audit-only	checked current list prints colon where the prior source prints IPA length mark
67	mango	DUM	attested	li	mathew-chamberlain2022bonda-didayi	DUM	li	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
68	banana	DUM	attested	nsʊʔgʊɖa	mathew-chamberlain2022bonda-didayi	DUM	n̩sʊʔgʊɖa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
69	wheat	DUM	attested	gom	mathew-chamberlain2022bonda-didayi	DUM	gom	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
70	millet	DUM	excluded_disqualified		mathew-chamberlain2022bonda-didayi	DUM		both-unattested	checked-2002-list-current; 1997-list-superseded-audit-only	neither reviewed source supplies a lexical response
71	rice	DUM	attested	ruŋkʊ	mathew-chamberlain2022bonda-didayi	DUM	ɾʊŋko | ɾʊŋko	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
72	potato	DUM	attested	alu	mathew-chamberlain2022bonda-didayi	DUM	alu	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
73	eggplant	DUM	attested	ɲiom	mathew-chamberlain2022bonda-didayi	DUM	ijõm	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
74	groundnut	DUM	attested	sena	mathew-chamberlain2022bonda-didayi	DUM	senɐ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
75	chili	DUM	attested	morsi	mathew-chamberlain2022bonda-didayi	DUM	moɾsi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
76	turmeric	DUM	attested	sʌŋsʌŋ	mathew-chamberlain2022bonda-didayi	DUM	sʌŋsʌŋ	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
77	garlic	DUM	attested	t̪ʊlirʊsuɳo	mathew-chamberlain2022bonda-didayi	DUM	tʊ̪ɭiɾʊsuɳo	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
78	onion	DUM	attested	ʊlirusuno	mathew-chamberlain2022bonda-didayi	DUM	ʊɭiɾʊsuɳo	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
79	cauliflower	DUM	attested	kubi	mathew-chamberlain2022bonda-didayi	DUM	kubɪ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
80	tomato	DUM	attested	bedʒa	mathew-chamberlain2022bonda-didayi	DUM	bedʒa	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
81	cabbage	DUM	attested	ʊlakubi	mathew-chamberlain2022bonda-didayi	DUM	kʊbi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
82	oil	DUM	attested	suʔu	mathew-chamberlain2022bonda-didayi	DUM	suʔu	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
83	salt	DUM	attested	bʊʈɪ	mathew-chamberlain2022bonda-didayi	DUM	bʊti̪	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
84	meat	DUM	attested	seli	mathew-chamberlain2022bonda-didayi	DUM	seli	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
85	fat	DUM	attested	kiri	mathew-chamberlain2022bonda-didayi	DUM	kɪɾi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
86	fish	DUM	attested	aʔaɖoŋ	mathew-chamberlain2022bonda-didayi	DUM	aʔaɖoŋ	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
87	chicken	DUM	attested	gisiŋ	mathew-chamberlain2022bonda-didayi	DUM	gɪçɪŋ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
88	egg	DUM	attested	n̩t̪asiŋ	mathew-chamberlain2022bonda-didayi	DUM	ŋto̪ʔsɪŋ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
89	cow	DUM	attested	guɪt̪aŋ	mathew-chamberlain2022bonda-didayi	DUM	gɔiʔtʌ̪ŋ̱male | jɔŋgɔi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
90	buffalo	DUM	attested	bʊŋʈe | dʒɔŋbʊŋ	mathew-chamberlain2022bonda-didayi	DUM	buŋte̪m̱ale | jɔŋbuŋ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
91	milk	DUM	attested	d̪at̪ikʊi	mathew-chamberlain2022bonda-didayi	DUM	d̪atɪ̪koi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
92	horns	DUM	attested	ɖerʊŋ	mathew-chamberlain2022bonda-didayi	DUM	ɖeɾuŋ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
93	tail	DUM	attested	pʊra	mathew-chamberlain2022bonda-didayi	DUM	pʊɾɐ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
94	goat	DUM	attested	gime	mathew-chamberlain2022bonda-didayi	DUM	gime	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
95	dog	DUM	attested	gʊsʊ	mathew-chamberlain2022bonda-didayi	DUM	guso	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
96	snake	DUM	attested	bʊbʊ	mathew-chamberlain2022bonda-didayi	DUM	bʊbu	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
97	monkey	DUM	attested	gisa	mathew-chamberlain2022bonda-didayi	DUM	gʊsa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
98	mosquito	DUM	attested	kirinje	mathew-chamberlain2022bonda-didayi	DUM	kɪɾiŋẽ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
99	ant	DUM	attested	bʊje	mathew-chamberlain2022bonda-didayi	DUM	bʊje	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
100	spider	DUM	attested	serangulugoi	mathew-chamberlain2022bonda-didayi	DUM	seɾaŋgʊlugoi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
101	name	DUM	attested	imi	mathew-chamberlain2022bonda-didayi	DUM	ɪmi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
102	man	DUM	attested	ŋgere	mathew-chamberlain2022bonda-didayi	DUM	ŋgeɾe	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
103	woman	DUM	attested	selane	mathew-chamberlain2022bonda-didayi	DUM	selane	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
104	child	DUM	attested	gʊbʊle	mathew-chamberlain2022bonda-didayi	DUM	gʊbʊle | çɪseɾago	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
105	father	DUM	attested	ba	mathew-chamberlain2022bonda-didayi	DUM	baː	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
106	mother	DUM	attested	joŋ	mathew-chamberlain2022bonda-didayi	DUM	ɪjɔŋ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
107	older brother	DUM	attested	maŋ	mathew-chamberlain2022bonda-didayi	DUM	maŋ	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
108	younger brother	DUM	attested	me	mathew-chamberlain2022bonda-didayi	DUM	me	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
109	older sister	DUM	attested	miŋ	mathew-chamberlain2022bonda-didayi	DUM	miŋ	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
110	younger sister	DUM	attested	kʊɪ	mathew-chamberlain2022bonda-didayi	DUM	kʊi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
111	son	DUM	attested	ʊʔʊ	mathew-chamberlain2022bonda-didayi	DUM	ʊʔu	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
112	daughter	DUM	attested	ʊʔʊ	mathew-chamberlain2022bonda-didayi	DUM	ʊʔu	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
113	husband	DUM	attested	mpor	mathew-chamberlain2022bonda-didayi	DUM	m̩poɾ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
114	wife	DUM	attested	kʊɳuɪ	mathew-chamberlain2022bonda-didayi	DUM	kʊɳui	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
115	boy	DUM	attested	ŋgere	mathew-chamberlain2022bonda-didayi	DUM	ŋgeɾe | gʊbʊle	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
116	girl	DUM	attested	selane	mathew-chamberlain2022bonda-didayi	DUM	selane	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
117	day	DUM	attested	simiʔɪ	mathew-chamberlain2022bonda-didayi	DUM	çɪmi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
118	night	DUM	attested	t̪umungo	mathew-chamberlain2022bonda-didayi	DUM	tu̪muŋgo	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
119	morning	DUM	attested	ndʒur	mathew-chamberlain2022bonda-didayi	DUM	n̩dʒuɾ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
120	noon	DUM	attested	simiʔɪ	mathew-chamberlain2022bonda-didayi	DUM	çɪmi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
121	evening/afternoon	DUM	attested	mʊnɖip	mathew-chamberlain2022bonda-didayi	DUM	munɖi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
122	yesterday	DUM	attested	t̪ʊgola	mathew-chamberlain2022bonda-didayi	DUM	tu̪go	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
123	today	DUM	attested	aʔna	mathew-chamberlain2022bonda-didayi	DUM	aʔna	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
124	tomorrow	DUM	attested	bera	mathew-chamberlain2022bonda-didayi	DUM	beɾa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
125	week	DUM	attested	at̪ek	mathew-chamberlain2022bonda-didayi	DUM	aʈek	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
