PDF_Page	Printed_Page	Concept	Gloss	Lect	Category	Response_Index	Form	Notes	Raw_Fragments	Source_Status
58	57	2	head	N-Son-Pat	3	2	mɑd̪ʱɔ		3 mɑd̪ʱɔ	response
58	57	2	head	N-Bal-Br	3	1	mɑtʰ̪ʌ		N-Bal-Br 3 mɑtʰ̪ʌ	response
58	57	2	head	N-Jaj-OBC	3	1	mɑtʰ̪o		N-Jaj-OBC 3 mɑtʰ̪o	response
58	57	2	head	N-Bhi-Bhi	3	1	mɑtʰ̪ɑ		N-Bhi-Bhi 3 mɑtʰ̪ɑ	response
58	57	2	head	N-Dhar-Bhi	3	1	mɑtʰ̪ɑ		N-Dhar-Bhi 3 mɑtʰ̪ɑ	response
58	57	2	head	N-Khj-Bhi	3	1	mʌd̪ʰo		N-Khj-Bhi 3 mʌd̪ʰo	response
58	57	2	head	N-Mah-Bhi	3	1	mɑtʰ̪ɑ		N-Mah-Bhi 3 mɑtʰ̪ɑ	response
58	57	2	head	N-Rup-Br	3	1	mɑtʰ̪ʌ		N-Rup-Br 3 mɑtʰ̪ʌ	response
58	57	2	head	N-Khr-Gen	3	1	mɑtʰ̪ɑ		N-Khr-Gen 3 mɑtʰ̪ɑ	response
58	57	2	head	N-Awl-Bal	3	1	mɑtʰ̪o		N-Awl-Bal 3 mɑtʰ̪o	response
58	57	2	head	N-Sir-OBC	3	1	mɑtʰ̪o		N-Sir-OBC 3 mɑtʰ̪o	response
58	57	2	head	N-Sir-OBC	3	2	mʌd̪ʰo		3 mʌd̪ʰo	response
58	57	2	head	N-Kup-Dar	3	1	mɑtʰ̪o		N-Kup-Dar 3 mɑtʰ̪o	response
58	57	2	head	Par Bhi	3	1	mɑtʰ̪o		Par Bhi 3 mɑtʰ̪o	response
58	57	2	head	Malvi	3	1	mɑtʰ̪ɑ		Malvi 3 mɑtʰ̪ɑ	response
58	57	2	head	Hindi	1	1	sɪɾ		Hindi 1 sɪɾ	response
58	57	2	head	Gujarati	3	1	mɑtʰ̪ũ		Gujarati 3 mɑtʰ̪ũ	response
58	57	2	head	Marathi	2	1	ɖoke		Marathi 2 ɖoke	response
58	57	3	hair	N-Son-Bal	2	1	bɑl		N-Son-Bal 2 bɑl	response
58	57	3	hair	N-Son-Pat	2	1	bɑl		N-Son-Pat 2 bɑl	response
58	57	3	hair	N-Bal-Br	4	1	bɑbɾejʌ		N-Bal-Br 4 bɑbɾejʌ	response
58	57	3	hair	N-Jaj-OBC	4	1	bɑbɾijʌ		N-Jaj-OBC 4 bɑbɾijʌ	response
58	57	3	hair	N-Bhi-Bhi	2	1	bɑl		N-Bhi-Bhi 2 bɑl	response
58	57	3	hair	N-Dhar-Bhi	2	1	bɑl		N-Dhar-Bhi 2 bɑl	response
58	57	3	hair	N-Khj-Bhi	2	1	bɑl		N-Khj-Bhi 2 bɑl	response
58	57	3	hair	N-Mah-Bhi	2	1	bɑl		N-Mah-Bhi 2 bɑl	response
58	57	3	hair	N-Rup-Br	4	1	bɑbɾejʌ		N-Rup-Br 4 bɑbɾejʌ	response
58	57	3	hair	N-Khr-Gen	2	1	bɑl		N-Khr-Gen 2 bɑl	response
58	57	3	hair	N-Awl-Bal	2	1	bɑl		N-Awl-Bal 2 bɑl	response
58	57	3	hair	N-Sir-OBC	2	1	bɑl		N-Sir-OBC 2 bɑl	response
58	57	3	hair	N-Kup-Dar	4	1	bɑbɾijʌ		N-Kup-Dar 4 bɑbɾijʌ	response
58	57	3	hair	Par Bhi	2	1	bɑl		Par Bhi 2 bɑl	response
58	57	3	hair	Malvi	2	1	bɑl		Malvi 2 bɑl	response
58	57	3	hair	Hindi	2	1	bɑl		Hindi 2 bɑl	response
58	57	3	hair	Gujarati	1	1	βɑɭ		Gujarati 1 βɑɭ	response
58	57	3	hair	Marathi	3	1	kes		Marathi 3 kes	response
58	57	4	face	N-Son-Bal	3	1	mʊɳɖo		N-Son-Bal 3 mʊɳɖo	response
58	57	4	face	N-Son-Pat	3	1	mʊnɖɔ		N-Son-Pat 3 mʊnɖɔ	response
58	57	4	face	N-Bal-Br	3	1	mũɖo		N-Bal-Br 3 mũɖo	response
58	57	4	face	N-Jaj-OBC	5	1	tʃoktɔ		N-Jaj-OBC 5 tʃoktɔ	response
58	57	4	face	N-Bhi-Bhi	3	1	munɖɑ		N-Bhi-Bhi 3 munɖɑ	response
58	57	4	face	N-Dhar-Bhi	4	1	ɾup		N-Dhar-Bhi 4 ɾup	response
58	57	4	face	N-Khj-Bhi	3	1	munɖɑ		N-Khj-Bhi 3 munɖɑ	response
58	57	4	face	N-Mah-Bhi	3	1	munɖɑ		N-Mah-Bhi 3 munɖɑ	response
58	57	4	face	N-Rup-Br	3	1	munɖɑ		N-Rup-Br 3 munɖɑ	response
58	57	4	face	N-Khr-Gen	3	1	munɖɔ		N-Khr-Gen 3 munɖɔ	response
58	57	4	face	N-Awl-Bal	3	1	munɖʰo		N-Awl-Bal 3 munɖʰo	response
58	57	4	face	N-Sir-OBC	3	1	munɖo		N-Sir-OBC 3 munɖo	response
58	57	4	face	N-Kup-Dar	3	1	mʊɳɖʌ		N-Kup-Dar 3 mʊɳɖʌ	response
58	57	4	face	Par Bhi	2	1	tʃeʰʌɾa		Par Bhi 2 tʃeʰʌɾa	response
58	57	4	face	Malvi	3	1	muɳɖɑ		Malvi 3 muɳɖɑ	response
58	57	4	face	Hindi	1	1	mʊkʰ		Hindi 1 mʊkʰ	response
58	57	4	face	Hindi	1	2	mũh		1 mũh	response
58	57	4	face	Hindi	2	3	tʃɛhəɾɑ		2 tʃɛhəɾɑ	response
58	57	4	face	Gujarati	1	1	mõh		Gujarati 1 mõh	response
58	57	4	face	Gujarati	2	2	tʃɛɾo		2 tʃɛɾo	response
58	57	4	face	Gujarati	3	3	moɖʱũ		3 moɖʱũ	response
58	57	4	face	Marathi	2	1	tʃɛhəɾɑ		Marathi 2 tʃɛhəɾɑ	response
58	57	5	eye	N-Son-Bal	2	1	ɖɔɭʌ		N-Son-Bal 2 ɖɔɭʌ	response
58	57	5	eye	N-Son-Pat	2	1	ɖɔɭɔ		N-Son-Pat 2 ɖɔɭɔ	response
58	57	5	eye	N-Bal-Br	2	1	ɖɔɭɔ		N-Bal-Br 2 ɖɔɭɔ	response
58	57	5	eye	N-Jaj-OBC	2	1	ɖɔɭɔ		N-Jaj-OBC 2 ɖɔɭɔ	response
58	57	5	eye	N-Bhi-Bhi	2	1	ɖoɭʌ		N-Bhi-Bhi 2 ɖoɭʌ	response
58	57	5	eye	N-Dhar-Bhi	2	1	doɭə		N-Dhar-Bhi 2 doɭə	response
58	57	5	eye	N-Khj-Bhi	2	1	ɖoɭo		N-Khj-Bhi 2 ɖoɭo	response
58	57	5	eye	N-Mah-Bhi	2	1	ɖoɭɑ		N-Mah-Bhi 2 ɖoɭɑ	response
58	57	5	eye	N-Rup-Br	2	1	ɖoɭɑ		N-Rup-Br 2 ɖoɭɑ	response
58	57	5	eye	N-Khr-Gen	2	1	ɖɔɭɔ		N-Khr-Gen 2 ɖɔɭɔ	response
58	57	5	eye	N-Awl-Bal	2	1	ɖoɭo		N-Awl-Bal 2 ɖoɭo	response
58	57	5	eye	N-Sir-OBC	2	1	ɖoɭo		N-Sir-OBC 2 ɖoɭo	response
58	57	5	eye	N-Kup-Dar	2	1	ɖoɭʌ		N-Kup-Dar 2 ɖoɭʌ	response
58	57	5	eye	Par Bhi	2	1	ɖoɭo		Par Bhi 2 ɖoɭo	response
58	57	5	eye	Malvi	1	1	ɑnkʰ		Malvi 1 ɑnkʰ	response
58	57	5	eye	Hindi	1	1	ɑ̃kʰ		Hindi 1 ɑ̃kʰ	response
58	57	5	eye	Gujarati	1	1	ɔŋkʰ		Gujarati 1 ɔŋkʰ	response
58	57	5	eye	Marathi	2	1	ɖoɭɑ		Marathi 2 ɖoɭɑ	response
59	58	6	ear	N-Son-Bal		1		no response row printed for this lect/concept cell		implicit_missing
59	58	6	ear	N-Son-Pat	1	1	kɑn		N-Son-Pat 1 kɑn	response
59	58	6	ear	N-Bal-Br	1	1	kɑn		N-Bal-Br 1 kɑn	response
59	58	6	ear	N-Jaj-OBC	1	1	kɑnʈo		N-Jaj-OBC 1 kɑnʈo	response
59	58	6	ear	N-Bhi-Bhi	1	1	kɑnʈɑ		N-Bhi-Bhi 1 kɑnʈɑ	response
59	58	6	ear	N-Dhar-Bhi	1	1	kɑn		N-Dhar-Bhi 1 kɑn	response
59	58	6	ear	N-Khj-Bhi	1	1	kɑnʈo		N-Khj-Bhi 1 kɑnʈo	response
59	58	6	ear	N-Mah-Bhi	1	1	kɑn		N-Mah-Bhi 1 kɑn	response
59	58	6	ear	N-Rup-Br	1	1	kɑn		N-Rup-Br 1 kɑn	response
59	58	6	ear	N-Khr-Gen	1	1	kɑnʈʰɑ		N-Khr-Gen 1 kɑnʈʰɑ	response
59	58	6	ear	N-Awl-Bal	1	1	kɑn		N-Awl-Bal 1 kɑn	response
59	58	6	ear	N-Sir-OBC	1	1	kɑn		N-Sir-OBC 1 kɑn	response
59	58	6	ear	N-Kup-Dar	1	1	kɑn		N-Kup-Dar 1 kɑn	response
59	58	6	ear	Par Bhi	1	1	kɑnʈu		Par Bhi 1 kɑnʈu	response
59	58	6	ear	Malvi	1	1	kɑn		Malvi 1 kɑn	response
59	58	6	ear	Hindi	1	1	kɑn		Hindi 1 kɑn	response
59	58	6	ear	Gujarati	1	1	kɑn		Gujarati 1 kɑn	response
59	58	6	ear	Marathi	1	1	kɑn		Marathi 1 kɑn	response
59	58	7	nose	N-Son-Bal	1	1	nɑk		N-Son-Bal 1 nɑk	response
59	58	7	nose	N-Son-Pat	1	1	nɑk		N-Son-Pat 1 nɑk	response
59	58	7	nose	N-Bal-Br	1	1	nɑk		N-Bal-Br 1 nɑk	response
59	58	7	nose	N-Jaj-OBC	1	1	nɑk		N-Jaj-OBC 1 nɑk	response
59	58	7	nose	N-Bhi-Bhi	1	1	nɑk		N-Bhi-Bhi 1 nɑk	response
59	58	7	nose	N-Dhar-Bhi	1	1	nɑkʰ		N-Dhar-Bhi 1 nɑkʰ	response
59	58	7	nose	N-Khj-Bhi	1	1	nɑk		N-Khj-Bhi 1 nɑk	response
59	58	7	nose	N-Mah-Bhi	1	1	nɑk		N-Mah-Bhi 1 nɑk	response
59	58	7	nose	N-Rup-Br	1	1	nɑk		N-Rup-Br 1 nɑk	response
59	58	7	nose	N-Khr-Gen	1	1	nɑk		N-Khr-Gen 1 nɑk	response
59	58	7	nose	N-Awl-Bal	1	1	nɑk		N-Awl-Bal 1 nɑk	response
59	58	7	nose	N-Sir-OBC	1	1	nɑkʰ		N-Sir-OBC 1 nɑkʰ	response
59	58	7	nose	N-Kup-Dar	1	1	nɑk		N-Kup-Dar 1 nɑk	response
59	58	7	nose	Par Bhi	1	1	nɑk		Par Bhi 1 nɑk	response
59	58	7	nose	Malvi	1	1	nɑkʰ		Malvi 1 nɑkʰ	response
59	58	7	nose	Hindi	1	1	nɑk		Hindi 1 nɑk	response
59	58	7	nose	Gujarati	1	1	nɑk		Gujarati 1 nɑk	response
59	58	7	nose	Marathi	1	1	nɑk		Marathi 1 nɑk	response
59	58	8	mouth	N-Son-Bal	2	1	mʊɳɖo		N-Son-Bal 2 mʊɳɖo	response
59	58	8	mouth	N-Son-Pat	2	1	mʊnɖɔ		N-Son-Pat 2 mʊnɖɔ	response
59	58	8	mouth	N-Bal-Br	2	1	mũɖo		N-Bal-Br 2 mũɖo	response
59	58	8	mouth	N-Jaj-OBC	2	1	munɖɔ		N-Jaj-OBC 2 munɖɔ	response
59	58	8	mouth	N-Bhi-Bhi	2	1	muɳɖɑ		N-Bhi-Bhi 2 muɳɖɑ	response
59	58	8	mouth	N-Dhar-Bhi	1	1	muh		N-Dhar-Bhi 1 muh	response
59	58	8	mouth	N-Khj-Bhi	2	1	munɖo		N-Khj-Bhi 2 munɖo	response
59	58	8	mouth	N-Mah-Bhi	2	1	munɖɔ		N-Mah-Bhi 2 munɖɔ	response
59	58	8	mouth	N-Rup-Br	2	1	muɳɖɑ		N-Rup-Br 2 muɳɖɑ	response
59	58	8	mouth	N-Khr-Gen	2	1	munɖɔ		N-Khr-Gen 2 munɖɔ	response
59	58	8	mouth	N-Awl-Bal	2	1	munɖɔ		N-Awl-Bal 2 munɖɔ	response
59	58	8	mouth	N-Sir-OBC	2	1	munɖo		N-Sir-OBC 2 munɖo	response
59	58	8	mouth	N-Kup-Dar	2	1	mʊɳɖʌ		N-Kup-Dar 2 mʊɳɖʌ	response
59	58	8	mouth	Par Bhi	2	1	muɳɖɑ		Par Bhi 2 muɳɖɑ	response
59	58	8	mouth	Malvi	1	1	mʊ		Malvi 1 mʊ	response
59	58	8	mouth	Hindi	1	1	mũh		Hindi 1 mũh	response
59	58	8	mouth	Gujarati	1	1	mõh		Gujarati 1 mõh	response
59	58	8	mouth	Marathi	1	1	mukʰ		Marathi 1 mukʰ	response
59	58	8	mouth	Marathi	3	2	tõ̪ɳɖ		3 tõ̪ɳɖ	response
59	58	9	tooth	N-Son-Bal	1	1	d̪ɑt̪		N-Son-Bal 1 d̪ɑt̪	response
59	58	9	tooth	N-Son-Pat	1	1	d̪ɑt̪		N-Son-Pat 1 d̪ɑt̪	response
59	58	9	tooth	N-Bal-Br	1	1	d̪ɑt̪		N-Bal-Br 1 d̪ɑt̪	response
59	58	9	tooth	N-Jaj-OBC	1	1	d̪ɑ̃t̪		N-Jaj-OBC 1 d̪ɑ̃t̪	response
59	58	9	tooth	N-Bhi-Bhi	1	1	d̪ɑt̪		N-Bhi-Bhi 1 d̪ɑt̪	response
59	58	9	tooth	N-Dhar-Bhi	1	1	d̪ɑt̪		N-Dhar-Bhi 1 d̪ɑt̪	response
59	58	9	tooth	N-Khj-Bhi	1	1	d̪ɑnt̪		N-Khj-Bhi 1 d̪ɑnt̪	response
59	58	9	tooth	N-Mah-Bhi	1	1	d̪ɑt̪		N-Mah-Bhi 1 d̪ɑt̪	response
59	58	9	tooth	N-Rup-Br	1	1	d̪ɑt̪		N-Rup-Br 1 d̪ɑt̪	response
59	58	9	tooth	N-Khr-Gen	1	1	d̪ɑ̃t̪		N-Khr-Gen 1 d̪ɑ̃t̪	response
59	58	9	tooth	N-Awl-Bal	1	1	d̪ɑt̪		N-Awl-Bal 1 d̪ɑt̪	response
59	58	9	tooth	N-Sir-OBC	1	1	d̪ɑt̪		N-Sir-OBC 1 d̪ɑt̪	response
59	58	9	tooth	N-Kup-Dar	1	1	d̪ɑt̪		N-Kup-Dar 1 d̪ɑt̪	response
59	58	9	tooth	Par Bhi	1	1	d̪ɑt̪		Par Bhi 1 d̪ɑt̪	response
59	58	9	tooth	Malvi	1	1	d̪ɑt̪		Malvi 1 d̪ɑt̪	response
59	58	9	tooth	Hindi	1	1	d̪ɑ̃t̪		Hindi 1 d̪ɑ̃t̪	response
59	58	9	tooth	Gujarati	1	1	d̪ɑnt̪		Gujarati 1 d̪ɑnt̪	response
59	58	9	tooth	Marathi	1	1	d̪ɑtə̪		Marathi 1 d̪ɑtə̪	response
59	58	10	tongue	N-Son-Bal	1	1	dʒib		N-Son-Bal 1 dʒib	response
59	58	10	tongue	N-Son-Pat	1	1	dʒib		N-Son-Pat 1 dʒib	response
59	58	10	tongue	N-Bal-Br	1	1	dʒibə		N-Bal-Br 1 dʒibə	response
59	58	10	tongue	N-Jaj-OBC	1	1	dʒib		N-Jaj-OBC 1 dʒib	response
59	58	10	tongue	N-Bhi-Bhi	1	1	dʒib		N-Bhi-Bhi 1 dʒib	response
59	58	10	tongue	N-Bhi-Bhi	1	2	dʒip		1 dʒip	response
59	58	10	tongue	N-Dhar-Bhi	1	1	dʒib		N-Dhar-Bhi 1 dʒib	response
59	58	10	tongue	N-Khj-Bhi	1	1	dʒib		N-Khj-Bhi 1 dʒib	response
59	58	10	tongue	N-Mah-Bhi	1	1	dʒibɑn		N-Mah-Bhi 1 dʒibɑn	response
59	58	10	tongue	N-Rup-Br	1	1	dʒib		N-Rup-Br 1 dʒib	response
59	58	10	tongue	N-Khr-Gen	1	1	dʒibɑɳ		N-Khr-Gen 1 dʒibɑɳ	response
59	58	10	tongue	N-Awl-Bal	1	1	dʒib		N-Awl-Bal 1 dʒib	response
59	58	10	tongue	N-Sir-OBC	1	1	dʒɑbɑn		N-Sir-OBC 1 dʒɑbɑn	response
59	58	10	tongue	N-Kup-Dar	1	1	dʒɪbɑn		N-Kup-Dar 1 dʒɪbɑn	response
59	58	10	tongue	Par Bhi	1	1	dʒib		Par Bhi 1 dʒib	response
59	58	10	tongue	Malvi	1	1	dʒib		Malvi 1 dʒib	response
59	58	10	tongue	Hindi	1	1	dʒibʱ		Hindi 1 dʒibʱ	response
59	58	10	tongue	Gujarati	1	1	dʒibʱ		Gujarati 1 dʒibʱ	response
59	58	10	tongue	Marathi	1	1	dʒibʱ		Marathi 1 dʒibʱ	response
		11	breast	N-Son-Bal		1		prompt absent from the published Appendix A wordlist		omitted_prompt
		11	breast	N-Son-Pat		1		prompt absent from the published Appendix A wordlist		omitted_prompt
		11	breast	N-Bal-Br		1		prompt absent from the published Appendix A wordlist		omitted_prompt
		11	breast	N-Jaj-OBC		1		prompt absent from the published Appendix A wordlist		omitted_prompt
		11	breast	N-Bhi-Bhi		1		prompt absent from the published Appendix A wordlist		omitted_prompt
		11	breast	N-Dhar-Bhi		1		prompt absent from the published Appendix A wordlist		omitted_prompt
		11	breast	N-Khj-Bhi		1		prompt absent from the published Appendix A wordlist		omitted_prompt
		11	breast	N-Mah-Bhi		1		prompt absent from the published Appendix A wordlist		omitted_prompt
		11	breast	N-Rup-Br		1		prompt absent from the published Appendix A wordlist		omitted_prompt
		11	breast	N-Khr-Gen		1		prompt absent from the published Appendix A wordlist		omitted_prompt
		11	breast	N-Awl-Bal		1		prompt absent from the published Appendix A wordlist		omitted_prompt
		11	breast	N-Sir-OBC		1		prompt absent from the published Appendix A wordlist		omitted_prompt
		11	breast	N-Kup-Dar		1		prompt absent from the published Appendix A wordlist		omitted_prompt
		11	breast	Par Bhi		1		prompt absent from the published Appendix A wordlist		omitted_prompt
		11	breast	Malvi		1		prompt absent from the published Appendix A wordlist		omitted_prompt
		11	breast	Hindi		1		prompt absent from the published Appendix A wordlist		omitted_prompt
		11	breast	Gujarati		1		prompt absent from the published Appendix A wordlist		omitted_prompt
		11	breast	Marathi		1		prompt absent from the published Appendix A wordlist		omitted_prompt
59	58	12	belly	N-Son-Bal	1	1	peʈ		N-Son-Bal 1 peʈ	response
59	58	12	belly	N-Son-Pat	1	1	peʈ		N-Son-Paty 1 peʈ	response
59	58	12	belly	N-Bal-Br	1	1	peʈ		N-Bal-Br 1 peʈ	response
59	58	12	belly	N-Jaj-OBC	1	1	peʈ		N-Jaj-OBC 1 peʈ	response
59	58	12	belly	N-Bhi-Bhi	1	1	peʈ		N-Bhi-Bhi 1 peʈ	response
59	58	12	belly	N-Dhar-Bhi	1	1	peʈʰ		N-Dhar-Bhi 1 peʈʰ	response
59	58	12	belly	N-Khj-Bhi	1	1	peʈ		N-Khj-Bhi 1 peʈ	response
59	58	12	belly	N-Mah-Bhi	1	1	peʈ		N-Mah-Bhi 1 peʈ	response
59	58	12	belly	N-Rup-Br	1	1	peʈ		N-Rup-Br 1 peʈ	response
59	58	12	belly	N-Khr-Gen	1	1	pɛʈ		N-Khr-Gen 1 pɛʈ	response
59	58	12	belly	N-Awl-Bal	1	1	pɛʈ		N-Awl-Bal 1 pɛʈ	response
59	58	12	belly	N-Sir-OBC	1	1	peʈ		N-Sir-OBC 1 peʈ	response
59	58	12	belly	N-Kup-Dar	1	1	peʈlɑ		N-Kup-Dar 1 peʈlɑ	response
59	58	12	belly	Par Bhi	1	1	peʈ		Par Bhi 1 peʈ	response
59	58	12	belly	Malvi	1	1	pɛʈʰ		Malvi 1 pɛʈʰ	response
59	58	12	belly	Hindi	1	1	pɛʈ		Hindi 1 pɛʈ	response
59	58	12	belly	Gujarati	1	1	pɛʈʰ		Gujarati 1 pɛʈʰ	response
59	58	12	belly	Marathi	1	1	poʈ		Marathi 1 poʈ	response
60	59	13	arm	N-Son-Bal	1	1	ct̪	diplomatic image-verified transcription; category digit was fused to the source glyph run	N-Son-Bal 1ct̪	response
60	59	13	arm	N-Son-Pat	1	1	hɑt̪		N-Son-Pat 1 hɑt̪	response
60	59	13	arm	N-Bal-Br	1	1	hɑt̪		N-Bal-Br 1 hɑt̪	response
60	59	13	arm	N-Bal-Br	2	2	bɑ̃v		2 bɑ̃v	response
60	59	13	arm	N-Jaj-OBC	2	1	bɑ̃v		N-Jaj-OBC 2 bɑ̃v	response
60	59	13	arm	N-Bhi-Bhi	2	1	bɑ̃u		N-Bhi-Bhi 2 bɑ̃u	response
60	59	13	arm	N-Dhar-Bhi	1	1	hɑt̪		N-Dhar-Bhi 1 hɑt̪	response
60	59	13	arm	N-Khj-Bhi	1	1	hɑt̪		N-Khj-Bhi 1 hɑt̪	response
60	59	13	arm	N-Mah-Bhi	2	1	bɑ̃j		N-Mah-Bhi 2 bɑ̃j	response
60	59	13	arm	N-Rup-Br	1	1	hɑt̪		N-Rup-Br 1 hɑt̪	response
60	59	13	arm	N-Khr-Gen	1	1	hɑtʰ̪		N-Khr-Gen 1 hɑtʰ̪	response
60	59	13	arm	N-Awl-Bal	1	1	hɑtʰ̪		N-Awl-Bal 1 hɑtʰ̪	response
60	59	13	arm	N-Awl-Bal	2	2	bʰav		2 bʰav	response
60	59	13	arm	N-Sir-OBC	1	1	hɑt̪		N-Sir-OBC 1 hɑt̪	response
60	59	13	arm	N-Kup-Dar	1	1	hɑt̪		N-Kup-Dar 1 hɑt̪	response
60	59	13	arm	Par Bhi	1	1	hɑt̪		Par Bhi 1 hɑt̪	response
60	59	13	arm	Malvi	2	1	bɑ̃j		Malvi 2 bɑ̃j	response
60	59	13	arm	Hindi	1	1	hɑtʰ̪		Hindi 1 hɑtʰ̪	response
60	59	13	arm	Hindi	2	2	bɑh̃		2 bɑh̃	response
60	59	13	arm	Gujarati	1	1	hɑtʰ̪		Gujarati 1 hɑtʰ̪	response
60	59	13	arm	Marathi	1	1	hɑtʰ̪		Marathi 1 hɑtʰ̪	response
60	59	13	arm	Marathi	2	2	bɑh̃		2 bɑh̃	response
60	59	14	elbow	N-Son-Bal	2	1	kɔɳi		N-Son-Bal 2 kɔɳi	response
60	59	14	elbow	N-Son-Pat	2	1	koⁱɳi		N-Son-Pat 2 koⁱɳi	response
60	59	14	elbow	N-Bal-Br	2	1	kɔɳi		N-Bal-Br 2 kɔɳi	response
60	59	14	elbow	N-Jaj-OBC	2	1	koⁱni		N-Jaj-OBC 2 koⁱni	response
60	59	14	elbow	N-Bhi-Bhi	2	1	koⁱni		N-Bhi-Bhi 2 koⁱni	response
60	59	14	elbow	N-Dhar-Bhi	2	1	kuɳi		N-Dhar-Bhi 2 kuɳi	response
60	59	14	elbow	N-Khj-Bhi	2	1	koⁱni		N-Khj-Bhi 2 koⁱni	response
60	59	14	elbow	N-Mah-Bhi	2	1	koɳi		N-Mah-Bhi 2 koɳi	response
60	59	14	elbow	N-Rup-Br	2	1	koⁱni		N-Rup-Br 2 koⁱni	response
60	59	14	elbow	N-Khr-Gen	2	1	kɔiɳi		N-Khr-Gen 2 kɔiɳi	response
60	59	14	elbow	N-Awl-Bal	2	1	kɔhinɪ		N-Awl-Bal 2 kɔhinɪ	response
60	59	14	elbow	N-Sir-OBC	2	1	koⁱni		N-Sir-OBC 2 koⁱni	response
60	59	14	elbow	N-Kup-Dar	2	1	kɔⁱɳi		N-Kup-Dar 2 kɔⁱɳi	response
60	59	14	elbow	Par Bhi	2	1	kɔⁱɳi		Par Bhi 2 kɔⁱɳi	response
60	59	14	elbow	Malvi	2	1	kuɳi		Malvi 2 kuɳi	response
60	59	14	elbow	Hindi	2	1	kohəni		Hindi 2 kohəni	response
60	59	14	elbow	Gujarati	2	1	kõɳi		Gujarati 2 kõɳi	response
60	59	14	elbow	Marathi	1	1	kopʌɾ		Marathi 1 kopʌɾ	response
60	59	15	palm	N-Son-Bal	1	1	hʌtə̪ɭʌⁱ		N-Son-Bal 1 hʌtə̪ɭʌⁱ	response
60	59	15	palm	N-Son-Pat	1	1	hʌte̪ɭi		N-Son-Pat 1 hʌte̪ɭi	response
60	59	15	palm	N-Bal-Br	1	1	hʌte̪ɭi		N-Bal-Br 1 hʌte̪ɭi	response
60	59	15	palm	N-Jaj-OBC	1	1	hɑtʰ̪eɭi		N-Jaj-OBC 1 hɑtʰ̪eɭi	response
60	59	15	palm	N-Bhi-Bhi	1	1	hʌte̪ɭi		N-Bhi-Bhi 1 hʌte̪ɭi	response
60	59	15	palm	N-Dhar-Bhi	1	1	hɑt̪		N-Dhar-Bhi 1 hɑt̪	response
60	59	15	palm	N-Khj-Bhi	1	1	hɑtᵊ̪ɭɑj		N-Khj-Bhi 1 hɑtᵊ̪ɭɑj	response
60	59	15	palm	N-Mah-Bhi	1	1	hʌte̪li		N-Mah-Bhi 1 hʌte̪li	response
60	59	15	palm	N-Rup-Br	1	1	hʌte̪li		N-Rup-Br 1 hʌte̪li	response
