Item	Gloss	Source_Code	Source_Label	Site_Name	Role	Response	Similarity_Group	Form	PDF_Page	Printed_Page
12	belly	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	2	2	gɦeɾ	41	41
12	belly	A	Jaunsari-Chakratha	Chakrata	target	1	2	gɛɾ	41	41
12	belly	h	Hindi	Hindi	comparison control	1	1	peʈ	41	41
12	belly	S	Bangani	Bangani	comparison control	1	1	peʈ	41	41
12	belly	J	Jaunpuri	Jaunpuri	comparison control	1	2	gɛɾ	41	41
12	belly	N	Nagpuriya	Nagpuriya	comparison control	1	1	peʈ	41	41
12	belly	G	Sirmauri	Sirmauri	comparison control	1	1	peʈ	41	41
13	arm	K	Jaunsari-Korwa	Korwa	target	1	2	bah	41	41
13	arm	D	Jaunsari-Khanaad	Khanaad	target	1	1	hat̪	41	41
13	arm	D	Jaunsari-Khanaad	Khanaad	target	2	2	bah	41	41
13	arm	C	Jaunsari-Chapnu	Chapnu	target	1	2	baw	41	41
13	arm	B	Jaunsari-Bhandroli	Bhandroli	target	1	2	bah	41	41
13	arm	M	MixedJB-Maindrath	Maindrath	target	1	1	hat̪	41	41
13	arm	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	1	hat̪	41	41
13	arm	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	2	2	bah	41	41
13	arm	A	Jaunsari-Chakratha	Chakrata	target	1	2	bãi	41	41
13	arm	h	Hindi	Hindi	comparison control	1	1	hɐt̪h	41	41
13	arm	h	Hindi	Hindi	comparison control	2	2	bãh	41	41
13	arm	S	Bangani	Bangani	comparison control	1	2	bãh	41	41
13	arm	J	Jaunpuri	Jaunpuri	comparison control	1	3	phakɽu	42	42
13	arm	N	Nagpuriya	Nagpuriya	comparison control	1	4	bola	42	42
13	arm	G	Sirmauri	Sirmauri	comparison control	1	2	bãh	42	42
14	elbow	K	Jaunsari-Korwa	Korwa	target	1	1	kuni	42	42
14	elbow	D	Jaunsari-Khanaad	Khanaad	target	1	1	khuɳi	42	42
14	elbow	C	Jaunsari-Chapnu	Chapnu	target	1	1	kuɳi	42	42
14	elbow	B	Jaunsari-Bhandroli	Bhandroli	target	1	1	kuni	42	42
14	elbow	M	MixedJB-Maindrath	Maindrath	target	1	1	kujɳi	42	42
14	elbow	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	1	khuɳi	42	42
14	elbow	A	Jaunsari-Chakratha	Chakrata	target	1	1	kuni	42	42
14	elbow	h	Hindi	Hindi	comparison control	1	1	kohəni	42	42
14	elbow	S	Bangani	Bangani	comparison control	1	1	kohəni	42	42
14	elbow	J	Jaunpuri	Jaunpuri	comparison control	1	2	kunaʈhi	42	42
14	elbow	N	Nagpuriya	Nagpuriya	comparison control	1	1	kohəni	42	42
14	elbow	G	Sirmauri	Sirmauri	comparison control	1	1	koini	42	42
15	palm	K	Jaunsari-Korwa	Korwa	target	1	1	hɐt̪əni	42	42
15	palm	K	Jaunsari-Korwa	Korwa	target	2	2	hɐt̪əni	42	42
15	palm	D	Jaunsari-Khanaad	Khanaad	target	1	1	hɐt̪əni	42	42
15	palm	D	Jaunsari-Khanaad	Khanaad	target	2	2	hɐt̪əni	42	42
15	palm	C	Jaunsari-Chapnu	Chapnu	target	1	2	hat̪	42	42
15	palm	B	Jaunsari-Bhandroli	Bhandroli	target	1	1	ɔt̪eli	42	42
15	palm	M	MixedJB-Maindrath	Maindrath	target	1	1	hɐt̪eli	42	42
15	palm	M	MixedJB-Maindrath	Maindrath	target	2	2	hɐt̪eli	42	42
15	palm	M	MixedJB-Maindrath	Maindrath	target	3	2	hɐt̪anɐli	42	42
15	palm	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	1	hɐt̪eli	42	42
15	palm	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	2	2	hɐt̪eli	42	42
15	palm	A	Jaunsari-Chakratha	Chakrata	target	1	2	hat̪	42	42
15	palm	h	Hindi	Hindi	comparison control	1	1	hʌt̪heli	42	42
15	palm	h	Hindi	Hindi	comparison control	2	2	hʌt̪heli	42	42
15	palm	S	Bangani	Bangani	comparison control	1	2	hat̪h	42	42
15	palm	J	Jaunpuri	Jaunpuri	comparison control	1	2	hat̪hkəl	42	42
15	palm	N	Nagpuriya	Nagpuriya	comparison control	1	2	hat̪h	42	42
15	palm	G	Sirmauri	Sirmauri	comparison control	1	2	hathəli	42	42
16	finger	K	Jaunsari-Korwa	Korwa	target	1	2	guʈhi	42	42
16	finger	D	Jaunsari-Khanaad	Khanaad	target	1	2	guʈhi	42	42
16	finger	C	Jaunsari-Chapnu	Chapnu	target	1	2	guʈhi	42	42
16	finger	B	Jaunsari-Bhandroli	Bhandroli	target	1	2	guʈhi	42	42
16	finger	M	MixedJB-Maindrath	Maindrath	target	1	2	guʈhi	42	42
16	finger	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	2	guʈhi	42	42
16	finger	A	Jaunsari-Chakratha	Chakrata	target	1	2	guʈija	42	42
16	finger	h	Hindi	Hindi	comparison control	1	1	ɐ̃ŋgəli	42	42
16	finger	S	Bangani	Bangani	comparison control	1	2	ãguʈhi	42	42
16	finger	S	Bangani	Bangani	comparison control	2	3	ãguʈhi	42	42
16	finger	J	Jaunpuri	Jaunpuri	comparison control	1	1	ãguli	42	42
16	finger	J	Jaunpuri	Jaunpuri	comparison control	2	3	ãguli	42	42
16	finger	N	Nagpuriya	Nagpuriya	comparison control	1	2	ãguʈhi	42	42
16	finger	N	Nagpuriya	Nagpuriya	comparison control	2	3	ãguʈhi	42	42
16	finger	G	Sirmauri	Sirmauri	comparison control	1	2	guʈhi	42	42
17	fingernail	K	Jaunsari-Korwa	Korwa	target	1	1	nɐkh	42	42
17	fingernail	K	Jaunsari-Korwa	Korwa	target	2	2	nɐkh	42	42
17	fingernail	D	Jaunsari-Khanaad	Khanaad	target	1	1	nɔg	42	42
17	fingernail	C	Jaunsari-Chapnu	Chapnu	target	1	1	nɔg	42	42
17	fingernail	B	Jaunsari-Bhandroli	Bhandroli	target	1	1	nɔg	42	42
17	fingernail	M	MixedJB-Maindrath	Maindrath	target	1	1	nɐg	42	42
17	fingernail	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	1	nɐkh	42	42
17	fingernail	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	2	2	nɐkh	42	42
17	fingernail	A	Jaunsari-Chakratha	Chakrata	target	1	1	nɔg	42	42
17	fingernail	h	Hindi	Hindi	comparison control	1	2	nɐ̃khun	42	42
17	fingernail	h	Hindi	Hindi	comparison control	2	2	nʌkhun	42	42
17	fingernail	S	Bangani	Bangani	comparison control	1	1	nɔg	42	42
17	fingernail	J	Jaunpuri	Jaunpuri	comparison control	1	1	nəg	42	42
17	fingernail	N	Nagpuriya	Nagpuriya	comparison control	1	1	nəŋ	42	42
17	fingernail	G	Sirmauri	Sirmauri	comparison control	1	3	noːʃ	42	42
18	leg	K	Jaunsari-Korwa	Korwa	target	1	2	ʈaŋ	42	42
18	leg	D	Jaunsari-Khanaad	Khanaad	target	1	2	ʈaŋ	42	42
18	leg	C	Jaunsari-Chapnu	Chapnu	target	1	2	ʈaŋ	42	42
18	leg	B	Jaunsari-Bhandroli	Bhandroli	target	1	2	ʈaŋ	42	42
18	leg	M	MixedJB-Maindrath	Maindrath	target	1	3	bɐŋgəɳə	42	42
18	leg	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	2	ʈaŋ	42	42
18	leg	A	Jaunsari-Chakratha	Chakrata	target	1	2	ʈaŋ	42	42
18	leg	h	Hindi	Hindi	comparison control	1	1	pæɾ	42	42
18	leg	h	Hindi	Hindi	comparison control	2	2	ʈaŋg	42	42
18	leg	S	Bangani	Bangani	comparison control	1	3	bangeɳa	42	42
18	leg	J	Jaunpuri	Jaunpuri	comparison control	1	4	khuʈu	42	42
18	leg	N	Nagpuriya	Nagpuriya	comparison control	1	2	ʈaŋ	42	42
18	leg	G	Sirmauri	Sirmauri	comparison control	1	3	bãgoɳi	42	42
19	skin	K	Jaunsari-Korwa	Korwa	target	1	1	ɠhal	43	43
19	skin	D	Jaunsari-Khanaad	Khanaad	target	1	1	ɠhal	43	43
19	skin	D	Jaunsari-Khanaad	Khanaad	target	2	2	tʃɐməɖɐ	43	43
19	skin	D	Jaunsari-Khanaad	Khanaad	target	3	3	tʃɐməɖɐ	43	43
19	skin	C	Jaunsari-Chapnu	Chapnu	target	1	2	tʃɐməɖɐ	43	43
19	skin	C	Jaunsari-Chapnu	Chapnu	target	2	3	tʃɐməɖɐ	43	43
19	skin	B	Jaunsari-Bhandroli	Bhandroli	target	1	3	tʃhoɖi	43	43
19	skin	M	MixedJB-Maindrath	Maindrath	target	1	1	ɠhal	43	43
19	skin	M	MixedJB-Maindrath	Maindrath	target	2	2	tʃɐmaɖi	43	43
19	skin	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	1	ɠhal	43	43
19	skin	A	Jaunsari-Chakratha	Chakrata	target	1	1	ɠhal	43	43
19	skin	h	Hindi	Hindi	comparison control	1	1	khal	43	43
19	skin	h	Hindi	Hindi	comparison control	2	2	tʃəməɖa	43	43
19	skin	h	Hindi	Hindi	comparison control	3	3	tʃəməɖa	43	43
19	skin	S	Bangani	Bangani	comparison control	1	1	ɠhal	43	43
19	skin	J	Jaunpuri	Jaunpuri	comparison control	1	2	tʃəmɽa	43	43
19	skin	J	Jaunpuri	Jaunpuri	comparison control	2	3	tʃəmɽa	43	43
19	skin	N	Nagpuriya	Nagpuriya	comparison control	1	2	tʃəmɽi	43	43
19	skin	N	Nagpuriya	Nagpuriya	comparison control	2	3	tʃəmɽi	43	43
19	skin	G	Sirmauri	Sirmauri	comparison control	1	2	tʃəmɽi	43	43
19	skin	G	Sirmauri	Sirmauri	comparison control	2	3	tʃəmɽi	43	43
20	bone	K	Jaunsari-Korwa	Korwa	target	1	1	hɐɖi	43	43
20	bone	D	Jaunsari-Khanaad	Khanaad	target	1	1	hɐɖɖi	43	43
20	bone	C	Jaunsari-Chapnu	Chapnu	target	1	1	hɐɖəwɐ	43	43
20	bone	C	Jaunsari-Chapnu	Chapnu	target	2	2	hɐɖəwɐ	43	43
20	bone	B	Jaunsari-Bhandroli	Bhandroli	target	1	1	haɖəkɛ	43	43
20	bone	B	Jaunsari-Bhandroli	Bhandroli	target	2	3	haɖəkɛ	43	43
20	bone	M	MixedJB-Maindrath	Maindrath	target	1	1	haɖəkɛ	43	43
20	bone	M	MixedJB-Maindrath	Maindrath	target	2	3	haɖəkɛ	43	43
20	bone	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	1	hɐɖɖi	43	43
20	bone	A	Jaunsari-Chakratha	Chakrata	target	1	2	aɖve	43	43
20	bone	h	Hindi	Hindi	comparison control	1	1	həɖɖi	43	43
20	bone	S	Bangani	Bangani	comparison control	1	3	haɽək	43	43
20	bone	J	Jaunpuri	Jaunpuri	comparison control	1	1	həɖɖi	43	43
20	bone	N	Nagpuriya	Nagpuriya	comparison control	1	1	həɖɖi	43	43
20	bone	G	Sirmauri	Sirmauri	comparison control	1	3	haɽoki	43	43
21	heart	K	Jaunsari-Korwa	Korwa	target	1	2	dʒiw	43	43
21	heart	D	Jaunsari-Khanaad	Khanaad	target	1	1	d̪il	43	43
21	heart	C	Jaunsari-Chapnu	Chapnu	target	1	2	dʒiw	43	43
21	heart	B	Jaunsari-Bhandroli	Bhandroli	target	1	2	dʒiʋ	43	43
21	heart	M	MixedJB-Maindrath	Maindrath	target	1	2	dʒiw	43	43
21	heart	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	2	dʒiw	43	43
21	heart	A	Jaunsari-Chakratha	Chakrata	target	1	3	dʒikuɽi	43	43
21	heart	h	Hindi	Hindi	comparison control	1	1	dɪl	43	43
21	heart	S	Bangani	Bangani	comparison control	1	4	tʃhat̪t̪i	43	43
21	heart	J	Jaunpuri	Jaunpuri	comparison control	1	3	dʒukəɽu	43	43
21	heart	N	Nagpuriya	Nagpuriya	comparison control	1	1	d̪il	43	43
21	heart	G	Sirmauri	Sirmauri	comparison control	1	1	dɪl	43	43
22	blood	K	Jaunsari-Korwa	Korwa	target	1	3	lɔj	43	43
22	blood	K	Jaunsari-Korwa	Korwa	target	2	4	lɔj	43	43
22	blood	D	Jaunsari-Khanaad	Khanaad	target	1	3	lɔj	43	43
22	blood	D	Jaunsari-Khanaad	Khanaad	target	2	4	lɔj	43	43
22	blood	C	Jaunsari-Chapnu	Chapnu	target	1	3	lɔj	43	43
22	blood	C	Jaunsari-Chapnu	Chapnu	target	2	4	lɔj	43	43
22	blood	B	Jaunsari-Bhandroli	Bhandroli	target	1	3	lɔj	43	43
22	blood	B	Jaunsari-Bhandroli	Bhandroli	target	2	4	lɔj	43	43
22	blood	M	MixedJB-Maindrath	Maindrath	target	1	3	lo	43	43
22	blood	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	2	lɔji	43	43
22	blood	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	2	3	lɔji	43	43
22	blood	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	3	4	lɔji	43	43
22	blood	A	Jaunsari-Chakratha	Chakrata	target	1	2	lui	43	43
22	blood	A	Jaunsari-Chakratha	Chakrata	target	2	4	lui	43	43
22	blood	h	Hindi	Hindi	comparison control	1	1	khun	43	43
22	blood	h	Hindi	Hindi	comparison control	2	2	lʌhu	43	43
22	blood	S	Bangani	Bangani	comparison control	1	1	khun	43	43
22	blood	J	Jaunpuri	Jaunpuri	comparison control	1	1	khun	43	43
22	blood	N	Nagpuriya	Nagpuriya	comparison control	1	1	khun	43	43
22	blood	G	Sirmauri	Sirmauri	comparison control	1	1	kun	43	43
25	village	K	Jaunsari-Korwa	Korwa	target	1	1	gav	43	43
25	village	D	Jaunsari-Khanaad	Khanaad	target	1	1	gav	43	43
25	village	C	Jaunsari-Chapnu	Chapnu	target	1	1	gaw	43	43
25	village	B	Jaunsari-Bhandroli	Bhandroli	target	1	1	gav	43	43
25	village	M	MixedJB-Maindrath	Maindrath	target	1	1	gaw	43	43
25	village	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	1	gav	43	43
25	village	A	Jaunsari-Chakratha	Chakrata	target	1	1	gaũ	43	43
25	village	h	Hindi	Hindi	comparison control	1	1	gaũ	43	43
25	village	S	Bangani	Bangani	comparison control	1	1	gaũ	43	43
25	village	J	Jaunpuri	Jaunpuri	comparison control	1	1	gɔ̃	43	43
25	village	N	Nagpuriya	Nagpuriya	comparison control	1	1	gaũ	43	43
25	village	G	Sirmauri	Sirmauri	comparison control	1	1	gaũ	43	43
26	house	K	Jaunsari-Korwa	Korwa	target	1	1	gɦɐɾ	44	44
26	house	D	Jaunsari-Khanaad	Khanaad	target	1	1	gɦɐɾ	44	44
26	house	C	Jaunsari-Chapnu	Chapnu	target	1	1	gɦɐɾ	44	44
26	house	B	Jaunsari-Bhandroli	Bhandroli	target	1	1	gɔɾ	44	44
26	house	M	MixedJB-Maindrath	Maindrath	target	1	1	gɦɐɾ	44	44
26	house	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	1	gɦɐɾ	44	44
26	house	A	Jaunsari-Chakratha	Chakrata	target	1	1	gɦoɾə	44	44
26	house	h	Hindi	Hindi	comparison control	1	1	gɦəɾ	44	44
26	house	S	Bangani	Bangani	comparison control	1	1	gɦəɾ	44	44
26	house	J	Jaunpuri	Jaunpuri	comparison control	1	2	ɖeɾa	44	44
26	house	N	Nagpuriya	Nagpuriya	comparison control	1	1	gɦoɾ	44	44
26	house	G	Sirmauri	Sirmauri	comparison control	1	1	gɦoɾ	44	44
27	roof	K	Jaunsari-Korwa	Korwa	target	1	1	tshɐppɐɾ	44	44
27	roof	D	Jaunsari-Khanaad	Khanaad	target	1	1	tshɐppɐɾ	44	44
27	roof	C	Jaunsari-Chapnu	Chapnu	target	1	1	tshɐppɐɾ	44	44
27	roof	B	Jaunsari-Bhandroli	Bhandroli	target	1	1	tʃhapoɾ	44	44
27	roof	M	MixedJB-Maindrath	Maindrath	target	1	1	tshɐppɐɾ	44	44
27	roof	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	1	tshɐppɐɾ	44	44
27	roof	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	2	3	tʃheŋa	44	44
27	roof	A	Jaunsari-Chakratha	Chakrata	target	1	1	tʃhəpəɾ	44	44
27	roof	h	Hindi	Hindi	comparison control	1	2	tʃhət	44	44
27	roof	S	Bangani	Bangani	comparison control	1	2	tʃhət̪	44	44
27	roof	J	Jaunpuri	Jaunpuri	comparison control	1	2	tʃhət̪	44	44
27	roof	N	Nagpuriya	Nagpuriya	comparison control	1	2	tʃhət̪	44	44
27	roof	G	Sirmauri	Sirmauri	comparison control	1	1	tʃhəpːər	44	44
28	door	K	Jaunsari-Korwa	Korwa	target	1	2	d̪aɾ	44	44
28	door	D	Jaunsari-Khanaad	Khanaad	target	1	2	d̪aɾ	44	44
28	door	C	Jaunsari-Chapnu	Chapnu	target	1	2	d̪aɾ	44	44
