Item	Gloss	Similarity_Group	Raw_Form	Form	Site_Codes	Printed_Page	Column	Response	Aspiration_Markers	Review
28	day	1	dn	dɪn	0abcdef	36	2	1	0	source text-layer transcript; legacy glyphs checked against page image
29	morning	1	kal	ʃɔkal	0	36	2	1	0	source text-layer transcript; legacy glyphs checked against page image
29	morning	2	bian	bia̯n	abcdef	36	2	2	0	source text-layer transcript; legacy glyphs checked against page image
30	noon	1	dupur	dupur	0	36	2	1	0	source text-layer transcript; legacy glyphs checked against page image
30	noon	2	blitk	bɛlitɪk	bcde	36	2	2	0	source text-layer transcript; legacy glyphs checked against page image
30	noon	2	bnitk	bɛnitɪk	af	36	2	3	0	source text-layer transcript; legacy glyphs checked against page image
31	evening	1	nda	ʃɛnda	abcdef	36	2	1	0	source text-layer transcript; legacy glyphs checked against page image
31	evening	1	ond a	ʃondʰa	0	36	2	2	1	source text-layer transcript; legacy glyphs checked against page image
32	night	1	rat	rat	0	36	2	1	0	source text-layer transcript; legacy glyphs checked against page image
32	night	1	rati	rati	abcdef	36	2	2	0	source text-layer transcript; legacy glyphs checked against page image
33	paddy rice	1	d an	dʰan	0abcdef	36	2	1	1	source text-layer transcript; legacy glyphs checked against page image
34	uncooked rice	1	al	tʃal	0	36	2	1	0	source text-layer transcript; legacy glyphs checked against page image
34	uncooked rice	1	on	tʃon	af	36	2	2	0	source text-layer transcript; legacy glyphs checked against page image
34	uncooked rice	1	or	tʃor	bcde	36	2	3	0	source text-layer transcript; legacy glyphs checked against page image
35	cooked rice	1	b at	bʰat	0abcdef	37	1	1	1	source text-layer transcript; legacy glyphs checked against page image
36	wheat	1	m	ɡɔm	0abcdef	37	1	1	0	source text-layer transcript; legacy glyphs checked against page image
37	corn	1	b ua	bʰutta	0	37	1	1	1	source text-layer transcript; legacy glyphs checked against page image
37	corn	1	duir bat	dʒuɡir bat	de	37	1	2	0	source text-layer transcript; legacy glyphs checked against page image
37	corn	1	duir pat	dʒuɡir pat	c	37	1	3	0	source text-layer transcript; legacy glyphs checked against page image
37	corn	1	duii b at	dʒuɡiɾi bʰat	ab	37	1	4	1	source text-layer transcript; legacy glyphs checked against page image
37	corn	2	dukui b at	dukuɾi bʰat	f	37	1	5	1	source text-layer transcript; legacy glyphs checked against page image
38	potato	1	alu	alu	0abcdef	37	1	1	0	source text-layer transcript; legacy glyphs checked against page image
39	cauliflower	1	fulkopi	fulkopi	c	37	1	1	0	source text-layer transcript; legacy glyphs checked against page image
39	cauliflower	1	p ulkobi	pʰulkobi	abf	37	1	2	1	source text-layer transcript; legacy glyphs checked against page image
39	cauliflower	1	p ulkopi	pʰulkopi	0de	37	1	3	1	source text-layer transcript; legacy glyphs checked against page image
40	cabbage	1	bad akopi	badʰakopi	0cde	37	1	1	1	source text-layer transcript; legacy glyphs checked against page image
40	cabbage	1	bandakobi	bandakobi	abf	37	1	2	0	source text-layer transcript; legacy glyphs checked against page image
41	eggplant	1	bun	bɛɡun	0	37	1	1	0	source text-layer transcript; legacy glyphs checked against page image
41	eggplant	1	bilo	bɛi̯loŋ	af	37	1	2	0	source text-layer transcript; legacy glyphs checked against page image
41	eggplant	1	bino	bɛi̯noŋ	bcde	37	1	3	0	source text-layer transcript; legacy glyphs checked against page image
42	peanut	1	badam	badam	abcdef	37	1	1	0	source text-layer transcript; legacy glyphs checked against page image
42	peanut	1	inabadam	tʃinabadam	0	37	1	2	0	source text-layer transcript; legacy glyphs checked against page image
43	tree	1	a	ɡatʃʰ	0bcde	37	1	1	1	source text-layer transcript; legacy glyphs checked against page image
43	tree	2	lukoropa	lukorʃopa	af	37	1	2	0	source text-layer transcript; legacy glyphs checked against page image
43	tree	2	rukopa	rukʃopa	bcd	37	1	3	0	source text-layer transcript; legacy glyphs checked against page image
44	branch	1	al	ɖal	0	37	2	1	0	source text-layer transcript; legacy glyphs checked against page image
44	branch	2	d	dɛŋ	bce	37	2	2	0	source text-layer transcript; legacy glyphs checked against page image
44	branch	3	da	dɛŋŋa	af	37	2	3	0	source text-layer transcript; legacy glyphs checked against page image
44	branch	4	dr	dɛr	d	37	2	4	0	source text-layer transcript; legacy glyphs checked against page image
45	leaf	1	pata	pata	0abcdef	37	2	1	0	source text-layer transcript; legacy glyphs checked against page image
46	thorn	1	kaa	kata	0abcdef	37	2	1	0	source text-layer transcript; legacy glyphs checked against page image
47	root	1	mul	mul	0	37	2	1	0	source text-layer transcript; legacy glyphs checked against page image
47	root	2	maa	maɾa	bcdef	37	2	2	0	source text-layer transcript; legacy glyphs checked against page image
47	root	2	mai	maɾi	a	37	2	3	0	source text-layer transcript; legacy glyphs checked against page image
48	bamboo	1	ba	bãʃ	0	37	2	1	0	source text-layer transcript; legacy glyphs checked against page image
48	bamboo	2	baha	baha	abcdef	37	2	2	0	source text-layer transcript; legacy glyphs checked against page image
49	fruit	1	p l	pʰɔl	0abcdef	37	2	1	1	source text-layer transcript; legacy glyphs checked against page image
50	jackfruit	1	ka al	katʰal	0	37	2	1	1	source text-layer transcript; legacy glyphs checked against page image
50	jackfruit	2	t eipo	tʰei̯poŋ	abcdef	37	2	2	1	source text-layer transcript; legacy glyphs checked against page image
51	coconut (ripe)	1	naikl	naɾikɛl	0	37	2	1	0	source text-layer transcript; legacy glyphs checked against page image
51	coconut (ripe)	1	naikon	naɾikon	af	37	2	2	0	source text-layer transcript; legacy glyphs checked against page image
51	coconut (ripe)	1	naikor	naɾikor	bcd	37	2	3	0	source text-layer transcript; legacy glyphs checked against page image
51	coconut (ripe)	2	rupi	rupi	e	37	2	4	0	source text-layer transcript; legacy glyphs checked against page image
52	banana	1	kla	kɔla	0abcdef	37	2	1	0	source text-layer transcript; legacy glyphs checked against page image
53	mango	1	am	am	0	38	1	1	0	source text-layer transcript; legacy glyphs checked against page image
53	mango	2	hno	hɛno	bc	38	1	2	0	source text-layer transcript; legacy glyphs checked against page image
53	mango	2	hnu	hɛnu	aef	38	1	3	0	source text-layer transcript; legacy glyphs checked against page image
53	mango	2	heinu	hei̯nu	d	38	1	4	0	source text-layer transcript; legacy glyphs checked against page image
54	flower	1	p ul	pʰul	0abcdef	38	1	1	1	source text-layer transcript; legacy glyphs checked against page image
55	seed	1	bid	bidʒ	0abcdef	38	1	1	0	source text-layer transcript; legacy glyphs checked against page image
56	sugarcane	1	ak	akʰ	0	38	1	1	1	source text-layer transcript; legacy glyphs checked against page image
56	sugarcane	2	mou	mou̯	abcdef	38	1	2	0	source text-layer transcript; legacy glyphs checked against page image
57	betelnut	1	upai	ʃupaɾi	0	38	1	1	0	source text-layer transcript; legacy glyphs checked against page image
57	betelnut	2	ua	ɡua̯	abcdef	38	1	2	0	source text-layer transcript; legacy glyphs checked against page image
58	lime for betelnut	1	unu	ʃunu	abcdef	38	1	1	0	source text-layer transcript; legacy glyphs checked against page image
58	lime for betelnut	1	un	tʃun	0	38	1	2	0	source text-layer transcript; legacy glyphs checked against page image
59	liquor	1	md	mɔd	0abcdef	38	1	1	0	source text-layer transcript; legacy glyphs checked against page image
60	milk	1	dud	dudʰ	0	38	1	1	1	source text-layer transcript; legacy glyphs checked against page image
60	milk	2	kom	ʃɛŋkom	bcde	38	1	2	0	source text-layer transcript; legacy glyphs checked against page image
60	milk	2	kum	ʃɛŋkum	af	38	1	3	0	source text-layer transcript; legacy glyphs checked against page image
61	oil	1	tl	tɛl	0	38	1	1	0	source text-layer transcript; legacy glyphs checked against page image
61	oil	2	t ou	tʰou̯	abcdef	38	1	2	1	source text-layer transcript; legacy glyphs checked against page image
62	meat	1	mao	maŋʃo	0abcdef	38	1	1	0	source text-layer transcript; legacy glyphs checked against page image
63	salt	1	lbon     /     nun	lɔbon / nun	0	38	2	1	0	source text-layer transcript; legacy glyphs checked against page image
63	salt	1	nun	nun	abcdef	38	2	2	0	source text-layer transcript; legacy glyphs checked against page image
64	onion	1	pad	pɛa̯dʒ	0abcdef	38	2	1	0	source text-layer transcript; legacy glyphs checked against page image
65	garlic	1	run	rɔʃun	0abcdef	38	2	1	0	source text-layer transcript; legacy glyphs checked against page image
66	red pepper	1	lal mo	lal moɾɪtʃ	0	38	2	1	0	source text-layer transcript; legacy glyphs checked against page image
66	red pepper	2	mooki	moɾokʃi	abcdef	38	2	2	0	source text-layer transcript; legacy glyphs checked against page image
67	elephant	1	ati	ati	acdef	38	2	1	0	source text-layer transcript; legacy glyphs checked against page image
67	elephant	1	hati	hati	0b	38	2	2	0	source text-layer transcript; legacy glyphs checked against page image
68	tiger	1	ba	baɡʰ	0abcdef	38	2	1	1	source text-layer transcript; legacy glyphs checked against page image
69	bear	1	b aluk	bʰaluk	0abcdef	38	2	1	1	source text-layer transcript; legacy glyphs checked against page image
70	deer	1	hon	hoɾɪn	0bde	38	2	1	0	source text-layer transcript; legacy glyphs checked against page image
70	deer	1	o	oɾɪŋ	acf	38	2	2	0	source text-layer transcript; legacy glyphs checked against page image
71	monkey	1	bador	bador	a	38	2	1	0	source text-layer transcript; legacy glyphs checked against page image
71	monkey	1	bandor	bandor	f	38	2	2	0	source text-layer transcript; legacy glyphs checked against page image
71	monkey	1	banor	banor	0bcde	38	2	3	0	source text-layer transcript; legacy glyphs checked against page image
72	rabbit	1	k ro	kʰɔrɡoʃ	0abcdef	38	2	1	1	source text-layer transcript; legacy glyphs checked against page image
73	snake	1	ap	ʃap	0	39	1	1	0	source text-layer transcript; legacy glyphs checked against page image
73	snake	2	hrp	hɔrɔp	de	39	1	2	0	source text-layer transcript; legacy glyphs checked against page image
73	snake	2	horp	horɔp	abcf	39	1	3	0	source text-layer transcript; legacy glyphs checked against page image
74	crocodile	1	kumir	kumir	0abcdef	39	1	1	0	source text-layer transcript; legacy glyphs checked against page image
75	house lizard	1	kkka	tɛktɛkka	af	39	1	1	0	source text-layer transcript; legacy glyphs checked against page image
75	house lizard	1	kkki	tɪktɪkki	0bce	39	1	2	0	source text-layer transcript; legacy glyphs checked against page image
75	house lizard	2	manaporom	manaporom	de	39	1	3	0	source text-layer transcript; legacy glyphs checked against page image
76	turtle	1	kt op	kɔttʃʰop	0	39	1	1	1	source text-layer transcript; legacy glyphs checked against page image
76	turtle	2	t ku	tʰɛŋku	af	39	1	2	1	source text-layer transcript; legacy glyphs checked against page image
76	turtle	3	durbi	durbi	bcde	39	1	3	0	source text-layer transcript; legacy glyphs checked against page image
77	frog	1	bæ	bæŋ	0af	39	1	1	0	source text-layer transcript; legacy glyphs checked against page image
77	frog	2	krpo	kɛrpoŋ	bcde	39	1	2	0	source text-layer transcript; legacy glyphs checked against page image
78	dog	1	kukur	kukur	0abcdef	39	1	1	0	source text-layer transcript; legacy glyphs checked against page image
79	cat	1	bial	biɽal	0	39	1	1	0	source text-layer transcript; legacy glyphs checked against page image
79	cat	2	mhur	mɛhur	abcdef	39	1	2	0	source text-layer transcript; legacy glyphs checked against page image
80	cow	1	ou	ɡoɾu	0	39	1	1	0	source text-layer transcript; legacy glyphs checked against page image
80	cow	1	uu	ɡuɾu	abcdef	39	1	2	0	source text-layer transcript; legacy glyphs checked against page image
81	buffalo	1	mohi	mohiʃ	0bcde	39	1	1	0	source text-layer transcript; legacy glyphs checked against page image
81	buffalo	2	mo	moʃ	af	39	1	2	0	source text-layer transcript; legacy glyphs checked against page image
82	horn (of buffalo)	1	i	ʃiŋ	0	39	1	1	0	source text-layer transcript; legacy glyphs checked against page image
82	horn (of buffalo)	2	h	hɪŋ	abcdef	39	1	2	0	source text-layer transcript; legacy glyphs checked against page image
83	tail	1	ld	lɛdʒ	0bcde	39	2	1	0	source text-layer transcript; legacy glyphs checked against page image
83	tail	2	lnda	lɛndʒa	af	39	2	2	0	source text-layer transcript; legacy glyphs checked against page image
84	goat	1	 aol	tʃʰaɡol	0bc	39	2	1	1	source text-layer transcript; legacy glyphs checked against page image
84	goat	2	ham	hamɛŋ	af	39	2	2	0	source text-layer transcript; legacy glyphs checked against page image
84	goat	3	ai	ʃaɡi	de	39	2	3	0	source text-layer transcript; legacy glyphs checked against page image
85	pig	1	ukor	ʃukor	0	39	2	1	0	source text-layer transcript; legacy glyphs checked against page image
85	pig	2	huor	huor	abcdef	39	2	2	0	source text-layer transcript; legacy glyphs checked against page image
86	rat	1	idur	idur	0b	39	2	1	0	source text-layer transcript; legacy glyphs checked against page image
86	rat	1	udur	udur	acdef	39	2	2	0	source text-layer transcript; legacy glyphs checked against page image
87	chicken (adult female)	1	muuk	muɾuk	abcf	39	2	1	0	source text-layer transcript; legacy glyphs checked against page image
87	chicken (adult female)	1	muri(muuk)	murɡi(muɾuk)	0e	39	2	2	0	source text-layer transcript; legacy glyphs checked against page image
87	chicken (adult female)	2	kuaki	kuɾaki	cd	39	2	3	0	source text-layer transcript; legacy glyphs checked against page image
88	egg	1	im	ɖim	0abcdef	39	2	1	0	source text-layer transcript; legacy glyphs checked against page image
89	fish	1	ma	matʃʰ	0abcdef	39	2	1	1	source text-layer transcript; legacy glyphs checked against page image
90	duck	1	ha	haʃ	0be	39	2	1	0	source text-layer transcript; legacy glyphs checked against page image
90	duck	2	a	aʃ	cd	39	2	2	0	source text-layer transcript; legacy glyphs checked against page image
90	duck	2	akoaki	aʃkoɾaki	af	39	2	3	0	source text-layer transcript; legacy glyphs checked against page image
91	bird	1	pak i	pakʰi	0	39	2	1	1	source text-layer transcript; legacy glyphs checked against page image
91	bird	2	pahija	pahija	bcdef	39	2	2	0	source text-layer transcript; legacy glyphs checked against page image
91	bird	2	pak ija	pakʰija	a	39	2	3	1	source text-layer transcript; legacy glyphs checked against page image
92	insect	1	pk	pɔk	abdef	40	1	1	0	source text-layer transcript; legacy glyphs checked against page image
92	insect	1	poka	poka	0	40	1	2	0	source text-layer transcript; legacy glyphs checked against page image
92	insect	2	pkdk	pɔkdʒɔk	c	40	1	3	0	source text-layer transcript; legacy glyphs checked against page image
93	cockroach	1	tlapoka	tɛlapoka	0	40	1	1	0	source text-layer transcript; legacy glyphs checked against page image
93	cockroach	2	tnooni	tɛntʃoɾoni	acdef	40	1	2	0	source text-layer transcript; legacy glyphs checked against page image
93	cockroach	2	troa	tɛrtʃoɾa	b	40	1	3	0	source text-layer transcript; legacy glyphs checked against page image
94	bee	1	mouma i	mou̯matʃʰi	0	40	1	1	1	source text-layer transcript; legacy glyphs checked against page image
94	bee	2	bmul	bɛmul	b	40	1	2	0	source text-layer transcript; legacy glyphs checked against page image
94	bee	2	bmun	bɛmun	cd	40	1	3	0	source text-layer transcript; legacy glyphs checked against page image
94	bee	2	bmur	bɛmur	e	40	1	4	0	source text-layer transcript; legacy glyphs checked against page image
94	bee	3	bon	bɛŋŋon	af	40	1	5	0	source text-layer transcript; legacy glyphs checked against page image
95	fly	1	ma i	matʃʰi	0abcdef	40	1	1	1	source text-layer transcript; legacy glyphs checked against page image
96	spider	1	makora	makorʃa	0	40	1	1	0	source text-layer transcript; legacy glyphs checked against page image
96	spider	2	makor	makor	abcdef	40	1	2	0	source text-layer transcript; legacy glyphs checked against page image
97	ant	1	ppua	pɛpuɾa	abcdef	40	1	1	0	source text-layer transcript; legacy glyphs checked against page image
97	ant	1	pipa	pipɽa	0	40	1	2	0	source text-layer transcript; legacy glyphs checked against page image
98	mosquito	1	ma	mɔʃa	0	40	1	1	0	source text-layer transcript; legacy glyphs checked against page image
98	mosquito	1	moha	moha	abcdef	40	1	2	0	source text-layer transcript; legacy glyphs checked against page image
99	head	1	mat a	matʰa	0	40	1	1	1	source text-layer transcript; legacy glyphs checked against page image
99	head	2	mur	mur	abcdef	40	1	2	0	source text-layer transcript; legacy glyphs checked against page image
100	face	1	muk	mukʰ	0	40	2	1	1	source text-layer transcript; legacy glyphs checked against page image
100	face	2	akta	ʃakta	af	40	2	2	0	source text-layer transcript; legacy glyphs checked against page image
100	face	3	meit o	mei̯tʰoŋ	bcde	40	2	3	1	source text-layer transcript; legacy glyphs checked against page image
101	neck	1	la	ɡɔla	0	40	2	1	0	source text-layer transcript; legacy glyphs checked against page image
101	neck	2	nar	nar	af	40	2	2	0	source text-layer transcript; legacy glyphs checked against page image
101	neck	3	ar	ɡar	bcde	40	2	3	0	source text-layer transcript; legacy glyphs checked against page image
102	hair	1	ul	tʃul	0bcde	40	2	1	0	source text-layer transcript; legacy glyphs checked against page image
102	hair	1	un	tʃun	af	40	2	2	0	source text-layer transcript; legacy glyphs checked against page image
103	eye	1	ok	tʃok	0	40	2	1	0	source text-layer transcript; legacy glyphs checked against page image
103	eye	2	ahi	ahi	bcdef	40	2	2	0	source text-layer transcript; legacy glyphs checked against page image
103	eye	2	ak i	akʰi	a	40	2	3	1	source text-layer transcript; legacy glyphs checked against page image
104	nose	1	nak	nak	0abcdef	40	2	1	0	source text-layer transcript; legacy glyphs checked against page image
105	ear	1	kan	kan	0abcdef	40	2	1	0	source text-layer transcript; legacy glyphs checked against page image
106	cheek	1	al	ɡal	0abcdef	40	2	1	0	source text-layer transcript; legacy glyphs checked against page image
107	chin	1	ibuk	tʃibuk	0	40	2	1	0	source text-layer transcript; legacy glyphs checked against page image
107	chin	2	k ata	kʰataŋ	ac	40	2	2	1	source text-layer transcript; legacy glyphs checked against page image
107	chin	3	ui	tʃui̯	bcdef	40	2	3	0	source text-layer transcript; legacy glyphs checked against page image
108	mouth	1	muk	muk	0	40	2	1	0	source text-layer transcript; legacy glyphs checked against page image
108	mouth	2	t ota	tʰota	abcdef	40	2	2	1	source text-layer transcript; legacy glyphs checked against page image
109	tongue	1	db	dʒɪb	0	41	1	1	0	source text-layer transcript; legacy glyphs checked against page image
109	tongue	2	du	dʒu	abcdef	41	1	2	0	source text-layer transcript; legacy glyphs checked against page image
110	tooth	1	dat	dãt	0abcdef	41	1	1	0	source text-layer transcript; legacy glyphs checked against page image
111	elbow	1	konui	konui	0	41	1	1	0	source text-layer transcript; legacy glyphs checked against page image
111	elbow	2	kohoni	kohoni	abcdef	41	1	2	0	source text-layer transcript; legacy glyphs checked against page image
112	hand	1	hat	hat	0	41	1	1	0	source text-layer transcript; legacy glyphs checked against page image
112	hand	2	at	at	abcdef	41	1	2	0	source text-layer transcript; legacy glyphs checked against page image
113	palm	1	hatr tla	hatɛr tɔla	0	41	1	1	0	source text-layer transcript; legacy glyphs checked against page image
113	palm	2	atoltala	atoltala	a	41	1	2	0	source text-layer transcript; legacy glyphs checked against page image
113	palm	2	atortalu	atortalu	bf	41	1	3	0	source text-layer transcript; legacy glyphs checked against page image
113	palm	2	atortaa	atortaɾa	cde	41	1	4	0	source text-layer transcript; legacy glyphs checked against page image
114	finger	1	aur	aŋɡur	0	41	1	1	0	source text-layer transcript; legacy glyphs checked against page image
114	finger	1	auli	aŋŋuli	bcde	41	1	2	0	source text-layer transcript; legacy glyphs checked against page image
114	finger	2	amuni	amuni	af	41	1	3	0	source text-layer transcript; legacy glyphs checked against page image
115	fingernail	1	nk	nɔk	0bcdef	41	1	1	0	source text-layer transcript; legacy glyphs checked against page image
115	fingernail	1	nok	nok	a	41	1	2	0	source text-layer transcript; legacy glyphs checked against page image
116	knee	1	a u	atʰu	abcdef	41	1	1	1	source text-layer transcript; legacy glyphs checked against page image
116	knee	1	hau	hatu	0	41	1	2	0	source text-layer transcript; legacy glyphs checked against page image
117	foot	1	pd	pɔd	0	41	1	1	0	source text-layer transcript; legacy glyphs checked against page image
117	foot	2	t or pata	tʰɛŋor pata	a	41	1	2	1	source text-layer transcript; legacy glyphs checked against page image
117	foot	3	da	dʒaŋ	bcde	41	1	3	0	source text-layer transcript; legacy glyphs checked against page image
117	foot	4	daor pata	dʒaŋor pata	f	41	1	4	0	source text-layer transcript; legacy glyphs checked against page image
118	bone	1	ha	haɽ	0	41	2	1	0	source text-layer transcript; legacy glyphs checked against page image
118	bone	2	ar	ar	abcdf	41	2	2	0	source text-layer transcript; legacy glyphs checked against page image
118	bone	3	ai	aɖɖi	e	41	2	3	0	source text-layer transcript; legacy glyphs checked against page image
119	fat	1	orbi	tʃorbi	0abdef	41	2	1	0	source text-layer transcript; legacy glyphs checked against page image
119	fat	2	mahu	mahu	c	41	2	2	0	source text-layer transcript; legacy glyphs checked against page image
120	skin	1	ama	tʃamɾa	0ef	41	2	1	0	source text-layer transcript; legacy glyphs checked against page image
120	skin	2	am	tʃam	acd	41	2	2	0	source text-layer transcript; legacy glyphs checked against page image
120	skin	3	or	ʃor	d	41	2	3	0	source text-layer transcript; legacy glyphs checked against page image
120	skin	3	or	tʃor	bc	41	2	4	0	source text-layer transcript; legacy glyphs checked against page image
121	blood	1	rkto	rɔkto	0	41	2	1	0	source text-layer transcript; legacy glyphs checked against page image
121	blood	2	rkt	rɔkɔt	abcdef	41	2	2	0	source text-layer transcript; legacy glyphs checked against page image
122	sweat	1	 am	ɡʰam	0abcdef	41	2	1	1	source text-layer transcript; legacy glyphs checked against page image
123	belly	1	p	pɛt	0abcdef	41	2	1	0	source text-layer transcript; legacy glyphs checked against page image
