Item	Gloss	Site_Code	PDF_Page	Printed_Page	Column	Manual_Transcription	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration
170	what kind?	HTH	128	119	left	1 tʃilikan	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	HKA	128	119	left	1 tʃiliken	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	HKE	128	119	left	1 tʃilike rʌkʌm	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	HCH	128	119	left	1 tʃilikene	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	HCU	128	119	left	1 tʃimin pʌrkar	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	HSU	128	119	left		blank	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	HSA	128	119	left		blank	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	HJO	128	119	left	1 tʃilikan	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	HDH	128	119	left	1 tʃilike rʌkʌm, tʃilike	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	HBG	128	119	left	1 tʃiliken·a	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	HO2	128	119	left		blank	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	HRA	128	119	left	1 tʃilikan	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	HO3	128	119	left		blank	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	HOP	128	119	right	1 tʃilikana	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	HBA	128	119	right		blank	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	HNI	128	119	right	1 tʃilikʌ	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	BBG	128	119	right	1 tʃʌlka	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	BMA	128	119	right	1 tʃilikana, 3 tʃimin prakar	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	BOP	128	119	right		blank	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	BRA	128	119	right	1 tʃilekʌn	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	BGH	128	119	right	1 tʃilikana	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	MU1	128	119	right		blank	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	MU2	128	119	right		blank	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	SA1	128	119	right	1 tʃekan lekan	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	SBA	128	119	right	1 tʃet?lekana	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
170	what kind?	OCU	128	119	right	2 kemiṯi	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	HO1	128	119	left	1 neja, nena	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	HTH	128	119	left	1 nija	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	HKA	128	119	left	1 nija	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	HKE	128	119	left	1 nina	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	HCH	128	119	left	1 nina	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	HCU	128	119	left	1 nina	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	HSU	128	119	left	1 nija	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	HSA	128	119	left	1 nija	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	HJO	128	119	left	1 nina	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	HDH	128	119	left	1 nina	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	HBG	128	119	left	1 nija	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	HO2	128	119	left	1 nea	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	HRA	128	119	left	1 nia	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	HO3	128	119	left		blank	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	HOP	128	119	right	1 nia	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	HBA	128	119	right	1 nija	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	HNI	128	119	right	1 nẽja	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	BBG	128	119	right	1 nija	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	BMA	128	119	right	1 nija ṯed	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	BOP	128	119	right	1 nia	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	BRA	128	119	right	1 neã	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	BGH	128	119	right	1 nia	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	MU1	128	119	right		blank	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	MU2	128	119	right	1 nea	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	SA1	128	119	right	1 nia, 3 noa	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	SBA	128	119	right	3 no?e	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
171	this (in hand)	OCU	128	119	right	2 eiṯa	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	HO1	129	120	left	1 hani·, ena, ini	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	HTH	129	120	left	1 hʌna	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	HKA	129	120	left	1 hʌna	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	HKE	129	120	left	1 hana	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	HCH	129	120	left	1 hʌna	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	HCU	129	120	left	1 hana	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	HSU	129	120	left	1 hana	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	HSA	129	120	left	1 hana	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	HJO	129	120	left	1 hana	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	HDH	129	120	left	1 ene	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	HBG	129	120	left	1 hanʌ	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	HO2	129	120	left	1 ena	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	HRA	129	120	left	1 hana	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	HO3	129	120	left		blank	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	HOP	129	120	right	1 hana	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	HBA	129	120	right	1 hʌna	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	HNI	129	120	right	1 hʌna, hʌne	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	BBG	129	120	right	1 hʌnʌ	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	BMA	129	120	right	1 hana	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	BOP	129	120	right	1 hana	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	BRA	129	120	right	1 hʌ·e	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	BGH	129	120	right	1 hana, ina	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	MU1	129	120	right		blank	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	MU2	129	120	right	1 ena	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	SA1	129	120	right	1 ona, one	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	SBA	129	120	right	1 hʌne	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
172	that (distant)	OCU	129	120	right	2 seiṯa	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	HO1	129	120	left	1 neko, 1, 3 nejako, 3 nenako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	HTH	129	120	left	1, 3 nijako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	HKA	129	120	left	1, 3 nijako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	HKE	129	120	left	3 ninak	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	HCH	129	120	left	1 neko	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	HCU	129	120	left	3 ninako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	HSU	129	120	left	3 ninako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	HSA	129	120	left	1, 3 nijako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	HJO	129	120	left	3 ninako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	HDH	129	120	left	3 ninako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	HBG	129	120	left	3 ninako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	HO2	129	120	left	1 neko	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	HRA	129	120	left	1, 3 niako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	HO3	129	120	left		blank	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	HOP	129	120	right	1, 3 niako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	HBA	129	120	right	1, 3 nijako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	HNI	129	120	right	1, 3 nẽjako	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	BBG	129	120	right	1, 3 nijako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	BMA	129	120	right	1, 3 nijako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	BOP	129	120	right	1, 3 niako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	BRA	129	120	right	1 nẽ?eko	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	BGH	129	120	right	1 niko	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	MU1	129	120	right		blank	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	MU2	129	120	right	1, 3 neako, 1 niku	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	SA1	129	120	right	1 noko, 3 noako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	SBA	129	120	right	1, 3 ho?eko	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
173	these (in hand)	OCU	129	120	right	2 eisabu	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
174	those (distant)	HO1	129	120	left	1 hanko, 3 enko	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
174	those (distant)	HTH	129	120	left	1 hanako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
174	those (distant)	HKA	129	120	left	1 hʌnako	attested	medium	diplomatic Unicode rendering of legacy survey glyphs	manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
174	those (distant)	HKE	129	120	left	1 hanako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
174	those (distant)	HCH	129	120	left	1 hanko	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
174	those (distant)	HCU	129	120	left	1 hanako	attested	high		manual-source-image; rendered-400dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
