Cell_Key	Manual_Form	Cell_Status	Confidence	Review_Method	Reviewer	Notes
kurumba2012:kalangal:i411		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 411; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kalangal:i412		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 412; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kalangal:i413		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 413; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kalangal:i414		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 414; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kalangal:i415		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 415; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kalangal:i416		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 416; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kalangal:i417		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 417; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kalangal:i418		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 418; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kalangal:i419		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 419; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kalangal:i420		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 420; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kalangal:i421		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 421; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kalangal:i422		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 422; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kalangal:i423		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 423; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kalangal:i424		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 424; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kalangal:i425		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 425; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i401	ʂɪkkuɖu	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 401; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:masinagudi_jennu:i402	du:ra	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 402; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:masinagudi_jennu:i403	ʈɪʈʈu	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 403; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:masinagudi_jennu:i404	suɖu	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 404; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:masinagudi_jennu:i405	arɪoʈʈa	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 405; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:masinagudi_jennu:i406	kʌʈʈʌɭa	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 406; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:masinagudi_jennu:i407	natra	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 407; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:masinagudi_jennu:i408		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 408; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i409		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 409; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i410		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 410; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i411		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 411; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i412		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 412; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i413		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 413; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i414		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 414; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i415		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 415; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i416		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 416; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i417		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 417; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i418		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 418; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i419		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 419; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i420		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 420; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i421		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 421; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i422		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 422; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i423		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 423; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i424		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 424; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:masinagudi_jennu:i425		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.409 / printed p.404 / item 425; four printed dashes confirmed in 450 dpi rendered cell
