Snapshot_Date,Unit_ID,Region,PDF_Page,Printed_Page,Locator,Raw_Form,Raw_Gloss,Raw_Context,Status,Reason,Final_Form,Final_Gloss,Final_Phonemic,Final_Tags,Emitted_Key,Merged_Into,Source,Record_SHA256
2026-08-25,ex38b:3,interlinear,48,44,"p. 44, example 38b, MJ06a-92",aas,cop.pst,example=38b; reference=MJ06a-92; translation=I had to go.,installed,read from the PDF text layer and installed unchanged,aas,"was, were",,copula pret verb,hultman2023kalkoti:ex38b:3,hultman2023kalkoti:t28:affirmative:past,"hultman2023kalkoti[p. 44, example 38b, MJ06a-92]",031699257a1910387bae6930c2af156287d74c7d9bcc377820d45a7132b7fff1
2026-08-25,ex11a:1,interlinear,29,25,"p. 25, example 11a, JK15d-11",míšaal-úm,man.pl-obl.pl,example=11a; reference=JK15d-11; translation=The men searched for the women.,installed,read from the PDF text layer and installed unchanged,míšaalúm,man,,pl obl,hultman2023kalkoti:ex11a:1,hultman2023kalkoti:t11:1:oblique:pl,"hultman2023kalkoti[p. 25, example 11a, JK15d-11]",034e92847d8f94b921d4eee30843ffb45ffbc834dbe668a0a730f1e59badcc8f
2026-08-25,ex21b:3,interlinear,35,31,"p. 31, example 21b, JK15d-3",muuk=thä,face=dat,example=21b; reference=JK15d-3; translation=The boy looked at the girl.,installed,read from the PDF text layer and installed unchanged,muuk,face,,,hultman2023kalkoti:ex21b:3,,"hultman2023kalkoti[p. 31, example 21b, JK15d-3]",03926ab46ce6e5d393f524512fda9d170d0a4a1526a66cde1b0f8dda1517950b
2026-08-25,ex10c:4,interlinear,29,25,"p. 25, example 10c, U23a-21",šil-uun,hurt-ipfv.m.sg,example=10c; reference=U23a-21; translation=All the students have headaches.,installed,read from the PDF text layer and installed unchanged,šiluun,hurt,,ipfv m sg verb,hultman2023kalkoti:ex10c:4,hultman2023kalkoti:ex7a:4,"hultman2023kalkoti[p. 25, example 10c, U23a-21]",04439851c8542520f88859c73be4f8feef10316b03d42759d3e7f3b17db9f2bd
2026-08-25,ex55b:2,interlinear,55,51,"p. 51, example 55b, MJ06a-96",kiteek,how_many,example=55b; reference=MJ06a-96; translation=How many children do you have?,installed,read from the PDF text layer and installed unchanged,kiteek,how many,,,hultman2023kalkoti:ex55b:2,,"hultman2023kalkoti[p. 51, example 55b, MJ06a-96]",04b1db85e32157733fde4661e15187dbf004987a09d5f8695a683a852f5b7c0b
2026-08-25,t14:1pl:nominative,t14,30,26,"p. 26, table 14",bä,,case=nominative; person=1pl,installed,read from the PDF text layer and installed unchanged,bä,we,,pron personal 1pl nom,hultman2023kalkoti:t14:1pl:nominative,,"hultman2023kalkoti[p. 26, table 14]",04f79c7e826bffb48132b841f0324b86d1de1b3d85ce281ee6e6ecf959d85f39
2026-08-25,t25:2:pfv,t25,48,44,"p. 44, table 25",goo,go,column=pfv,installed,read from the PDF text layer and installed unchanged,goo,go,,verb pfv,hultman2023kalkoti:t25:2:pfv,hultman2023kalkoti:t24:5:pfv,"hultman2023kalkoti[p. 44, table 25]",05083b3192216b30915bac07938d30c3914a48ee6a89f9c3052246ca6272e0de
2026-08-25,t14:3sg.near:accusative,t14,30,26,"p. 26, table 14",räs,,case=accusative; person=3sg.near,installed,read from the PDF text layer and installed unchanged,räs,"he, she, it (proximate)",,pron personal 3sg prox acc,hultman2023kalkoti:t14:3sg.near:accusative,,"hultman2023kalkoti[p. 26, table 14]",0613d44eabc9fd5bf67cd2d79c92fc4568e5c7afcb639a2ca5fba36fcf143bb3
2026-08-25,ex66b:2,interlinear,59,55,"p. 55, example 66b, MI06c-121",tam,tree,example=66b; reference=MI06c-121; translation=Cut this tree and split it!,installed,read from the PDF text layer and installed unchanged,tam,tree,,,hultman2023kalkoti:ex66b:2,hultman2023kalkoti:ex39a:1,"hultman2023kalkoti[p. 55, example 66b, MI06c-121]",0636f0ed8c893719123175d99d2ee0768c3b7ebb88ed053c9ecafa611871b993
2026-08-25,t16:26,t16,32,28,"p. 28, table 16",ṣu-tée-bíiš,26,value=26,installed,read from the PDF text layer and installed unchanged,ṣutéebíiš,twenty-six,,num compound,hultman2023kalkoti:t16:26,,"hultman2023kalkoti[p. 28, table 16]",068a41a85265c3dbef6def05e9ae046d4b4ee7fb9b8ba2317902c763d2e4cad8
2026-08-25,ex21c:1,interlinear,35,31,"p. 31, example 21c, JK15d-79",triyaal-um,woman.pl-obl.pl,example=21c; reference=JK15d-79; translation=The women cooked the meat.,installed,read from the PDF text layer and installed unchanged,triyaalum,woman,,pl obl,hultman2023kalkoti:ex21c:1,hultman2023kalkoti:ex11a:2,"hultman2023kalkoti[p. 31, example 21c, JK15d-79]",06eed8d2b2414f734106762ffe02bc78244ed10521cabdd526b3e1d456b4ad10
