Snapshot_Date,Collation_Date,Unit_ID,Region,Section,Printed_Page,Raw_Form,Raw_Gloss,Raw_Context,Status,Reason,Final_Forms,Final_Gloss,Final_Tags,Etymology,Etymon_Candidates,Parameter_ID,Emitted_Keys,Review,Material_Error,Source,Record_SHA256
2026-08-25,2026-08-25,introduction:q11,prose,Introduction,3,,Domari,"d, it may simply have been copied from Turkish or a variety of Iranian with which Domari was in contact. It is still unclear where the term “Domari” comes from but a possible explanation i",skipped,"quoted English prose or a title, not a glossed Domari citation",,,,,,,,,,"herin2012domari[p. 3, introduction]",4d05e905a636babe84de168e8390b91d5ae9751b386a768a1cad83e4f27fe98e
2026-08-25,2026-08-25,introduction:q12,prose,Introduction,3,,The Gypsies of Egypt,"cinity of Beirut. Overall, Aleppo Domari seems closer to this dialect than to Palestinian Domari. Newboldʾs article (Newbold 1856) entitled “The Gypsies of Egypt” presented material collected in norther",skipped,"quoted English prose or a title, not a glossed Domari citation",,,,,,,,,,"herin2012domari[p. 3, introduction]",a63a506336c952e88899e27bf7c4a43b0e17f619bfa7095392639bb628f235bd
2026-08-25,2026-08-25,introduction:q13,prose,Introduction,3,,the dialects of the Transcaucasian Gypsies,the language is quite close to what I recorded in Aleppo. Another source is Patkannoffʾs article in which he gives words of what he calls “the dialects of the Transcaucasian Gypsies” (Patkannoff 1907/1908). Macalisterʾs de,skipped,"quoted English prose or a title, not a glossed Domari citation",,,,,,,,,,"herin2012domari[p. 3, introduction]",cd7c5c0e5306425eeb1b829fcabf02730ef9abd6c98d0de2f9c13e70b0d4392d
2026-08-25,2026-08-25,s1.1:q1,prose,1.1 Vowels,5,pāpī́r,grand-father,"ū /, / ē / and / ō /. In plain context, the main allophones of these long vowels are respectively [ æː ] ( pāpī́r [ pæːʾpiːr ] “grand-father”), [ ɑː ] pɑ̄sṓm [ pɑːʾsoːm ] “at",ingested,,pāpī́r,grand-father,dialect:as:aleppo:Aleppo,,,,herin2012domari:s1.1:q1,,,"herin2012domari[p. 5, section 1.1]",70e2004b7bd886896faf284254404deec43496f9a78c75f1d9184cdeab5dcbb2
2026-08-25,2026-08-25,s1.1:q2,prose,1.1 Vowels,5,pɑ̄sṓm,"at me, at my place","main allophones of these long vowels are respectively [ æː ] ( pāpī́r [ pæːʾpiːr ] “grand-father”), [ ɑː ] pɑ̄sṓm [ pɑːʾsoːm ] “at me, at my place”, [ iː ] psīk [ psiːk ] “cat”, [",ingested,,pɑ̄sṓm,"at me, at my place",dialect:as:aleppo:Aleppo,,,,herin2012domari:s1.1:q2,,,"herin2012domari[p. 5, section 1.1]",cb9f758101fecdb91b60b67ee6a9d109c937acfe1b84456997f407f94fab9120
2026-08-25,2026-08-25,s1.1:q3,prose,1.1 Vowels,5,psīk,cat,"vely [ æː ] ( pāpī́r [ pæːʾpiːr ] “grand-father”), [ ɑː ] pɑ̄sṓm [ pɑːʾsoːm ] “at me, at my place”, [ iː ] psīk [ psiːk ] “cat”, [ uː ] kūkár [ kuːʾkær ] “cock”",ingested,,psīk,cat,dialect:as:aleppo:Aleppo,,,,herin2012domari:s1.1:q3,,,"herin2012domari[p. 5, section 1.1]",462f34b3cfca2d08e9ee741076c3bd919f1f0b2ce37a112d3319723540776855
2026-08-25,2026-08-25,s1.1:q4,prose,1.1 Vowels,5,kūkár,cock,"] “grand-father”), [ ɑː ] pɑ̄sṓm [ pɑːʾsoːm ] “at me, at my place”, [ iː ] psīk [ psiːk ] “cat”, [ uː ] kūkár [ kuːʾkær ] “cock”, [ eː ] čēzə́k [ ʧeːʾzək ] “child",ingested,,kūkár,cock,dialect:as:aleppo:Aleppo,,,,herin2012domari:s1.1:q4,,,"herin2012domari[p. 5, section 1.1]",d68196c3abd75c59fa841fd9fea06191992a92d99a4e02a5e62426a1e045419d
2026-08-25,2026-08-25,s1.1:q5,prose,1.1 Vowels,5,čēzə́k,child,"pɑːʾsoːm ] “at me, at my place”, [ iː ] psīk [ psiːk ] “cat”, [ uː ] kūkár [ kuːʾkær ] “cock”, [ eː ] čēzə́k [ ʧeːʾzək ] “child”, [ oː ] ōšt [ oːʃt ] “lip”. The v",ingested,,čēzə́k,child,dialect:as:aleppo:Aleppo,,,,herin2012domari:s1.1:q5,,,"herin2012domari[p. 5, section 1.1]",edc16e21a01398a03d2499083c3abc3fd2684a9d2f2559b8a48aa1194eb79fdb
2026-08-25,2026-08-25,s1.1:q6,prose,1.1 Vowels,5,ōšt,lip,"iː ] psīk [ psiːk ] “cat”, [ uː ] kūkár [ kuːʾkær ] “cock”, [ eː ] čēzə́k [ ʧeːʾzək ] “child”, [ oː ] ōšt [ oːʃt ] “lip”. The vowel / ē /, although the main r",ingested,,ōšt,lip,dialect:as:aleppo:Aleppo,,,,herin2012domari:s1.1:q6,,,"herin2012domari[p. 5, section 1.1]",27ed9283a306c7763d186c573d108b5d2512c09503d06533886df9f47e0c6963
2026-08-25,2026-08-25,s1.1:q7,prose,1.1 Vowels,5,,why,"t ] “lip”. The vowel / ē /, although the main realisation is [ eː ], was also recorded [ ɪː ] in items like [ ksɪː ] (~[ kseː ]) “why” and [ kɪːtæ ] (~ [ keːtæ ]) “where”",skipped,"cited only as a phonetic realisation, with no citation form printed",,,,,,,,,,"herin2012domari[p. 5, section 1.1]",7802f1d8abe670fe0380da329ee32b78e4699e2adee08ad3a2239a0931996cff
2026-08-25,2026-08-25,s1.1:q8,prose,1.1 Vowels,5,,where,"h the main realisation is [ eː ], was also recorded [ ɪː ] in items like [ ksɪː ] (~[ kseː ]) “why” and [ kɪːtæ ] (~ [ keːtæ ]) “where”. In final position, a nasalised reflex",skipped,"cited only as a phonetic realisation, with no citation form printed",,,,,,,,,,"herin2012domari[p. 5, section 1.1]",bbaf5cb8dce0e49301dddae3a60a0209187c869250b0bd67029049cef6267531
2026-08-25,2026-08-25,s1.1:q9,prose,1.1 Vowels,5,tətã́,he gave,"[ kseː ]) “why” and [ kɪːtæ ] (~ [ keːtæ ]) “where”. In final position, a nasalised reflex of / ɑ̄ / appears: tətã́ [ təʾtɑ̃ː ] “he gave”, laʋrã́ [ læʾʋrɑ̃ː ] “tree”, drōng",ingested,,tətã́,he gave,dialect:as:aleppo:Aleppo,,,,herin2012domari:s1.1:q9,,,"herin2012domari[p. 5, section 1.1]",a58e2406eff71674bf91f57bccc549b7c1e656b175beb86405d1bb4e7abb4ca2
2026-08-25,2026-08-25,s1.1:q10,prose,1.1 Vowels,5,laʋrã́,tree,"~ [ keːtæ ]) “where”. In final position, a nasalised reflex of / ɑ̄ / appears: tətã́ [ təʾtɑ̃ː ] “he gave”, laʋrã́ [ læʾʋrɑ̃ː ] “tree”, drōngã́ [ droːnʾgɑ̃: ] “long, big”",ingested,,laʋrã́,tree,dialect:as:aleppo:Aleppo,,,,herin2012domari:s1.1:q10,,,"herin2012domari[p. 5, section 1.1]",a60843d4da405b0436b939e898121e2dda08c1ac5ab95ce09ca71cf08dfaca4b
2026-08-25,2026-08-25,s1.1:q11,prose,1.1 Vowels,5,drōngã́,"long, big","sition, a nasalised reflex of / ɑ̄ / appears: tətã́ [ təʾtɑ̃ː ] “he gave”, laʋrã́ [ læʾʋrɑ̃ː ] “tree”, drōngã́ [ droːnʾgɑ̃: ] “long, big”. This may be a pausal phenomenon. This",ingested,,drōngã́,"long, big",dialect:as:aleppo:Aleppo,,,,herin2012domari:s1.1:q11,,,"herin2012domari[p. 5, section 1.1]",66b64c223acd7e7511e674dd578b00c08f35f88c5cffbc741a11083aece9de88
2026-08-25,2026-08-25,s1.1:q12,prose,1.1 Vowels,5,sã,all,"”, drōngã́ [ droːnʾgɑ̃: ] “long, big”. This may be a pausal phenomenon. This is further suggested by the behaviour of the morpheme sã “all”, clearly realised with nasalisation whe",ingested,,sã,all,dialect:as:aleppo:Aleppo,,,,herin2012domari:s1.1:q12,,,"herin2012domari[p. 5, section 1.1]",c0bd77ec4f160a2b22d24f538c2857269d042eae093c0714d538d442e534d44a
2026-08-25,2026-08-25,s1.1:q13,prose,1.1 Vowels,5,čāġēm sã,all my kids,"ted by the behaviour of the morpheme sã “all”, clearly realised with nasalisation when followed by a pause: čāġēm sã [ ʧæːɣeːm sɑ̃ː ] “all my kids”; but otherwise realised [ ɑː ] when o",skipped,phrase or clause example whose component lexemes are glossed elsewhere,,all my kids,,,,,,,,"herin2012domari[p. 5, section 1.1]",247de36477d59a8186a8f5e1097c49aeb58d32ac7869609ca25ff5cbccbc0d1e
2026-08-25,2026-08-25,s1.1:q14,prose,1.1 Vowels,5,sɑ̄-ē-mā,all of us,[ ʧæːɣeːm sɑ̃ː ] “all my kids”; but otherwise realised [ ɑː ] when other morphological material is suffixed: sɑ̄-ē-mā [ sɑːeːmæ: ] “all of us”. As far as short vowels are concerned,ingested,,sɑ̄-ē-mā,all of us,dialect:as:aleppo:Aleppo,,,,herin2012domari:s1.1:q14,,,"herin2012domari[p. 5, section 1.1]",908e9e41bf3c454c7faa1bf19bbe5ac8899774da345e1e364dd6e9ffa2c08d70
2026-08-25,2026-08-25,s1.1:q15,prose,1.1 Vowels,5,ahlōm kərī́ ~ ahlōm krī́,the house of my family,"of phonemic contrast between short vowels is also suggested by the tendency to elision in unstressed positions: ahlōm kərī́ ~ ahlōm krī́ “the house of my family”, čərī́ ~ črī́ “knife”, māmōm qər “m",skipped,phrase or clause example whose component lexemes are glossed elsewhere,,the house of my family,,,,,,,,"herin2012domari[p. 5, section 1.1]",997a4c831864193aa9d47319cb98c9f93960dd6090a740e990802f894885ddea
2026-08-25,2026-08-25,s1.1:q16,prose,1.1 Vowels,5,čərī́ ~ črī́,knife,"s is also suggested by the tendency to elision in unstressed positions: ahlōm kərī́ ~ ahlōm krī́ “the house of my family”, čərī́ ~ črī́ “knife”, māmōm qər “my cousin (the son of my",ingested,,čərī́; črī́,knife,dialect:as:aleppo:Aleppo; alternate dialect:as:aleppo:Aleppo,,,,herin2012domari:s1.1:q16; herin2012domari:s1.1:q16:variant:2,,,"herin2012domari[p. 5, section 1.1]",a366c135f3eab3c440ceb75a79b0093391420e956f25b6a629b2533672644150
2026-08-25,2026-08-25,s1.1:q17,prose,1.1 Vowels,5,māmōm qər,my cousin (the son of my uncle),"y the tendency to elision in unstressed positions: ahlōm kərī́ ~ ahlōm krī́ “the house of my family”, čərī́ ~ črī́ “knife”, māmōm qər “my cousin (the son of my uncle)” but qr-ōm “my son”. One may posit a s",skipped,phrase or clause example whose component lexemes are glossed elsewhere,,my cousin (the son of my uncle),,,,,,,,"herin2012domari[p. 5, section 1.1]",4d8992816c25ab620589f696432b786ec6f434a2267cc58a2f4aa5a16422cb1a
2026-08-25,2026-08-25,s1.1:q18,prose,1.1 Vowels,5,qr-ōm,my son,"ons: ahlōm kərī́ ~ ahlōm krī́ “the house of my family”, čərī́ ~ črī́ “knife”, māmōm qər “my cousin (the son of my uncle)” but qr-ōm “my son”. One may posit a symmetrical system of",ingested,,qr-ōm,my son,dialect:as:aleppo:Aleppo,,,,herin2012domari:s1.1:q18,,,"herin2012domari[p. 5, section 1.1]",9cd94ae96398c95ae7d6579cbbca7a8d53272a3083dbbd2a08cafafa62ccdcf4
2026-08-25,2026-08-25,s1.1:q19,prose,1.1 Vowels,5,,person,"ʉ ] and [ ɵ ]. This is further exemplified when comparing some of the items given by Matras (1999:9) in I.P.A.: Jerusalem [ manʾʊs ] “person” vs. Aleppo [ məʾnəs ] “husband”, Jeru",skipped,"cited only as a phonetic realisation, with no citation form printed",,,,,,,,,,"herin2012domari[p. 5, section 1.1]",e01b56e7cc1e437b5ec54053d83b0bd275f54f6d113c827ebea4fbc0b681de26
2026-08-25,2026-08-25,s1.1:q20,prose,1.1 Vowels,5,,husband,"er exemplified when comparing some of the items given by Matras (1999:9) in I.P.A.: Jerusalem [ manʾʊs ] “person” vs. Aleppo [ məʾnəs ] “husband”, Jerusalem [ lakʌʾdom, lakaʾdom, lakeʾ",skipped,"cited only as a phonetic realisation, with no citation form printed",,,,,,,,,,"herin2012domari[p. 5, section 1.1]",db300212f73184c21d99cd9fe5816406fa2a6ed946b7a5f378c1aa6beb9e7100
2026-08-25,2026-08-25,s1.1:q21,prose,1.1 Vowels,5,,I saw,"Matras (1999:9) in I.P.A.: Jerusalem [ manʾʊs ] “person” vs. Aleppo [ məʾnəs ] “husband”, Jerusalem [ lakʌʾdom, lakaʾdom, lakeʾdom ] “I saw” vs. Aleppo [ lakərʾdoːm ~ dakǝrdoːm ]",skipped,"cited only as a phonetic realisation, with no citation form printed",,,,,,,,,,"herin2012domari[p. 5, section 1.1]",c4c223fe957e883789d85b630cce7aad0eaf479b7e173aaa1f0332b30763142c
2026-08-25,2026-08-25,s1.1:q22,prose,1.1 Vowels,5,,I saw ~ I found,"] “person” vs. Aleppo [ məʾnəs ] “husband”, Jerusalem [ lakʌʾdom, lakaʾdom, lakeʾdom ] “I saw” vs. Aleppo [ lakərʾdoːm ~ dakǝrdoːm ] “I saw ~ I found”. The vowel [ ɨ ] was mostly recorded",skipped,"cited only as a phonetic realisation, with no citation form printed",,,,,,,,,,"herin2012domari[p. 5, section 1.1]",1dab4164bbfb6f9e1b0cfb49689e00c5861f32966e012d703b4fd62534bb95c0
2026-08-25,2026-08-25,s1.1:q23,prose,1.1 Vowels,5,kō wāṭ-əs,throw the stone,"~ dakǝrdoːm ] “I saw ~ I found”. The vowel [ ɨ ] was mostly recorded in final stressed closed syllables: kō wāṭ-əs [ koː wɑːʾt̴ɨs ] “throw the stone”, štāl čēsk-əs [ ʃtæːl ʧeːsʾkɨs ] “l",skipped,phrase or clause example whose component lexemes are glossed elsewhere,,throw the stone,,,,,,,,"herin2012domari[p. 5, section 1.1]",60125e331b93c93b79b16734cc7f6937605e8132d2339f9cad826ca23f749c63
2026-08-25,2026-08-25,s1.1:q24,prose,1.1 Vowels,5,štāl čēsk-əs,lift the boy!,"s mostly recorded in final stressed closed syllables: kō wāṭ-əs [ koː wɑːʾt̴ɨs ] “throw the stone”, štāl čēsk-əs [ ʃtæːl ʧeːsʾkɨs ] “lift the boy!”; and also in loans from Turkish: yēldə",skipped,phrase or clause example whose component lexemes are glossed elsewhere,,lift the boy!,,,,,,,,"herin2012domari[p. 5, section 1.1]",0cb048298594b9687c71775a8b0f6c0899136e0003a84aec74e1b283c415aca5
2026-08-25,2026-08-25,s1.1:q25,prose,1.1 Vowels,5,yēldəz,star,"wɑːʾt̴ɨs ] “throw the stone”, štāl čēsk-əs [ ʃtæːl ʧeːsʾkɨs ] “lift the boy!”; and also in loans from Turkish: yēldəz [ jeːlʾdɨz ] “star” (< Turkish yɪldɪz “star”). Central ro",ingested,,yēldəz,star,dialect:as:aleppo:Aleppo,< Turkish yɪldɪz “star”,,,herin2012domari:s1.1:q25,,,"herin2012domari[p. 5, section 1.1]",8083b52f57b0c38bfd4c3cd7dfce91642f62630981c859d052dc25b02f796393
2026-08-25,2026-08-25,s1.1:q26,prose,1.1 Vowels,5,yɪldɪz,star,"e”, štāl čēsk-əs [ ʃtæːl ʧeːsʾkɨs ] “lift the boy!”; and also in loans from Turkish: yēldəz [ jeːlʾdɨz ] “star” (< Turkish yɪldɪz “star”). Central rounded realisations were als",skipped,"donor or etymon form cited in another language, not a Domari attestation",,,,,,,,,,"herin2012domari[p. 5, section 1.1]",b8f69aaa89c8e4b67ba2d2fb68e64e5a72ecaa291f52e9dbbb855b8ca11c27ec
2026-08-25,2026-08-25,s1.1:q27,prose,1.1 Vowels,5,kərī́,house,"urkish: yēldəz [ jeːlʾdɨz ] “star” (< Turkish yɪldɪz “star”). Central rounded realisations were also recorded in kərī́ [ kɵrʾiː ] “house”, xəǧã [ xɵʾʤɑ̃ː ] (~ [ ʾxɵʤɑ̃ː ])",ingested,,kərī́,house,dialect:as:aleppo:Aleppo,,,,herin2012domari:s1.1:q27,,,"herin2012domari[p. 5, section 1.1]",007ca5b6b947ca536ce23df21ecdfea0943deb71e337a59b3d2f799a261f693b
2026-08-25,2026-08-25,s1.1:q28,prose,1.1 Vowels,5,xəǧã,yesterday,"h yɪldɪz “star”). Central rounded realisations were also recorded in kərī́ [ kɵrʾiː ] “house”, xəǧã [ xɵʾʤɑ̃ː ] (~ [ ʾxɵʤɑ̃ː ]) “yesterday”, gəldʋānī́ [ gɵldʋæːʾniː ] “sweets”",ingested,,xəǧã,yesterday,dialect:as:aleppo:Aleppo,,,,herin2012domari:s1.1:q28,,,"herin2012domari[p. 5, section 1.1]",3c414f47168c972575683f83d73b006222333ab129e3578e1dce1e585d8c55bd
2026-08-25,2026-08-25,s1.1:q29,prose,1.1 Vowels,5,gəldʋānī́,sweets,"tions were also recorded in kərī́ [ kɵrʾiː ] “house”, xəǧã [ xɵʾʤɑ̃ː ] (~ [ ʾxɵʤɑ̃ː ]) “yesterday”, gəldʋānī́ [ gɵldʋæːʾniː ] “sweets”. It is however premature to assign thes",ingested,,gəldʋānī́,sweets,dialect:as:aleppo:Aleppo,,,,herin2012domari:s1.1:q29,,,"herin2012domari[p. 5, section 1.1]",551183e38040da1f77949453706ad878d9badaee064303b77063293772c3b90a
2026-08-25,2026-08-25,t1:r1c1,paradigm,1.2 Consonants,6,m,,Table 1: Inventory of Consonants | row label 'Nasal' | column label 'Bilabial',skipped,"phoneme-inventory chart, not lexical citations",,,,,,,,,,"herin2012domari[p. 6, Table 1, Nasal, Bilabial]",04642b2cbf0dda241763389745b5cfea375ab629599e5dd60a16ee609140b9a2
2026-08-25,2026-08-25,t1:r1c4,paradigm,1.2 Consonants,6,n,,Table 1: Inventory of Consonants | row label 'Nasal' | column label 'Alveolar',skipped,"phoneme-inventory chart, not lexical citations",,,,,,,,,,"herin2012domari[p. 6, Table 1, Nasal, Alveolar]",b787adc568d48230eb3c2b4f286c60e7029d2d1781b573ba5ffbc11bf216829b
2026-08-25,2026-08-25,t1:r2c1,paradigm,1.2 Consonants,6,p  b,,Table 1: Inventory of Consonants | row label 'Plosive' | column label 'Bilabial',skipped,"phoneme-inventory chart, not lexical citations",,,,,,,,,,"herin2012domari[p. 6, Table 1, Plosive, Bilabial]",ab447c229584db1f911a5900ba4fb8bb20cd9b7d8a64e3e49bc5b06137d2a04e
2026-08-25,2026-08-25,t1:r2c4,paradigm,1.2 Consonants,6,t  d,,Table 1: Inventory of Consonants | row label 'Plosive' | column label 'Alveolar',skipped,"phoneme-inventory chart, not lexical citations",,,,,,,,,,"herin2012domari[p. 6, Table 1, Plosive, Alveolar]",e95e77414e10e7b5d80c070a4c6721720cf2a3f3b171cd0d5c30a2a3c388e29e
2026-08-25,2026-08-25,t1:r2c7,paradigm,1.2 Consonants,6,k  g,,Table 1: Inventory of Consonants | row label 'Plosive' | column label 'Velar',skipped,"phoneme-inventory chart, not lexical citations",,,,,,,,,,"herin2012domari[p. 6, Table 1, Plosive, Velar]",164d53469c276af0f3c96583bf8dce58244be8d417dd9dc41553958efbf370bc
2026-08-25,2026-08-25,t1:r2c8,paradigm,1.2 Consonants,6,q,,Table 1: Inventory of Consonants | row label 'Plosive' | column label 'Uvular',skipped,"phoneme-inventory chart, not lexical citations",,,,,,,,,,"herin2012domari[p. 6, Table 1, Plosive, Uvular]",10a0ad5c5495a0f775dd4adc1191e7fa8b77a846a8b39936131d5d78bc4e098a
2026-08-25,2026-08-25,t1:r2c10,paradigm,1.2 Consonants,6,(ʾ),,Table 1: Inventory of Consonants | row label 'Plosive' | column label 'Glottal',skipped,"phoneme-inventory chart, not lexical citations",,,,,,,,,,"herin2012domari[p. 6, Table 1, Plosive, Glottal]",c958ab28b446a179992af4d0a3d081a108e156a98c0c3edd95eaabcd60c7f563
2026-08-25,2026-08-25,t1:r3c2,paradigm,1.2 Consonants,6,f,,Table 1: Inventory of Consonants | row label 'Fricative' | column label 'Labiodental',skipped,"phoneme-inventory chart, not lexical citations",,,,,,,,,,"herin2012domari[p. 6, Table 1, Fricative, Labiodental]",8bbaf85b9446dd695873a9f344232a6bf73abb59ba3b747f03343f6e4e496a82
2026-08-25,2026-08-25,t1:r3c4,paradigm,1.2 Consonants,6,s  z,,Table 1: Inventory of Consonants | row label 'Fricative' | column label 'Alveolar',skipped,"phoneme-inventory chart, not lexical citations",,,,,,,,,,"herin2012domari[p. 6, Table 1, Fricative, Alveolar]",2aba28be74aeed2b7f81f8931e32cf63d9b65c740087a3e7fc1dc260761ef2f6
2026-08-25,2026-08-25,t1:r3c5,paradigm,1.2 Consonants,6,š,,Table 1: Inventory of Consonants | row label 'Fricative' | column label 'Postalveolar',skipped,"phoneme-inventory chart, not lexical citations",,,,,,,,,,"herin2012domari[p. 6, Table 1, Fricative, Postalveolar]",9dffad212a882f4df35d156e815518f8a31f19e0622e579db9935ace2023ee6e
2026-08-25,2026-08-25,t1:r3c7,paradigm,1.2 Consonants,6,x  ġ,,Table 1: Inventory of Consonants | row label 'Fricative' | column label 'Velar',skipped,"phoneme-inventory chart, not lexical citations",,,,,,,,,,"herin2012domari[p. 6, Table 1, Fricative, Velar]",8afe62206209dded594313dd1cae5eff205785eefaa8d77af1f252ec1148cac2
2026-08-25,2026-08-25,t1:r3c9,paradigm,1.2 Consonants,6,ḥ  ʿ,,Table 1: Inventory of Consonants | row label 'Fricative' | column label 'Pharyngeal',skipped,"phoneme-inventory chart, not lexical citations",,,,,,,,,,"herin2012domari[p. 6, Table 1, Fricative, Pharyngeal]",46a97f5962bca86809a3bf835d0cc7896e3b439c80c3c32f0f42ac3ffd6bd1fb
2026-08-25,2026-08-25,t1:r3c10,paradigm,1.2 Consonants,6,h,,Table 1: Inventory of Consonants | row label 'Fricative' | column label 'Glottal',skipped,"phoneme-inventory chart, not lexical citations",,,,,,,,,,"herin2012domari[p. 6, Table 1, Fricative, Glottal]",b36e687d74f08b838a2426f5507c02b19281df5486620904aafa5235f9cd31e0
2026-08-25,2026-08-25,t1:r4c4,paradigm,1.2 Consonants,6,ṭ  ḍ ẓ,,Table 1: Inventory of Consonants | row label 'Velarised' | column label 'Alveolar',skipped,"phoneme-inventory chart, not lexical citations",,,,,,,,,,"herin2012domari[p. 6, Table 1, Velarised, Alveolar]",cf8295ef1cff38373bb39d840fc30c6180464dc6bc9a8cad4cfdcd9545e90ca3
