Entry_Key,Parameter_ID,Notes,Legacy_Form,Legacy_Gloss,Match
kalkoti:t11:1:ä,6651,,dær,door,matched on form and gloss
kalkoti:t11:2:a,6914,,naŋg,fingernail,matched on form and gloss
kalkoti:t11:2:aa,7039,,nāŋg,snake,matched on form and gloss
kalkoti:t11:2:u,6835,,dūr,dust,the 2022 form wrote a long vowel; table 11 contrasts /dʊr/ 'dust' with /duːr/ 'far'
kalkoti:t11:2:uu,6495,,dūr,far,matched on form and gloss
kalkoti:t12:1:2,7785,,pānd,path,matched on form and gloss
kalkoti:t12:1:4,4147,,gā,cow,matched on form and gloss
kalkoti:t12:1:5,10539,,rāt,blood,matched on form and gloss
kalkoti:t12:1:6,13682,,tam,tree,matched on form and gloss
kalkoti:t12:1:7,6152,,dān,tooth,matched on form and gloss
kalkoti:t12:1:8,12497,,ṣiṣ,head,matched on form and gloss
kalkoti:t12:2:1,5853,,dut,lip,matched on form and gloss
kalkoti:t12:2:2,4287,,gōm,wheat,matched on form and gloss
kalkoti:t12:2:3,3832,,kʰōr,left,matched on form and gloss
kalkoti:t12:2:4,4471,,gā,grass,matched on form and gloss
kalkoti:t12:2:5,10702,,rāt,night,matched on form and gloss
kalkoti:t12:2:8,14096,,im,belly,matched on form and gloss
kalkoti:t12:3:4,3916,,kʰēr,field,matched on form and gloss
kalkoti:t12:4:7,3243,,kuṭ,knee,matched on form and gloss
kalkoti:t12:5:2,7047,,nēr,root,matched on form and gloss
kalkoti:t13:1,13254,,sær,lake,matched on form and gloss
kalkoti:t13:2,2830,,kān,ear,matched on form and gloss
kalkoti:t13:3,5589,,ḍǣr,belly,matched on form and gloss
kalkoti:t13:4,12379,,śāk,wood,matched on form and gloss
kalkoti:t13:6,11572,,bāl,hair,matched on form and gloss
kalkoti:t13:7,4516,,gōr,horse,matched on form and gloss
kalkoti:t13:8,5009,,cʰēl,goat,matched on form and gloss
kalkoti:t16:1:sg,12707,,śī,house,matched on form and gloss
kalkoti:t16:2:sg,13747,,tʰēr,hand,matched on form and gloss
kalkoti:t16:6:sg,9828,,mēś,man,matched on form and gloss
kalkoti:t16:9:sg,5621,,tarkāṇ,carpenter,matched on form and gloss
kalkoti:t17:l-verb:non-perfective,5727,,trap,to run,matched on form and gloss
kalkoti:t19:1,14021,,æsil,laughed,matched on form and gloss
kalkoti:t19:2,6592,,dōyil,milked,matched on form and gloss
kalkoti:t19:7,5060,,cʰōn,put,matched on form and gloss
kalkoti:t1:1,9661,,dra,brother,matched on form and gloss
kalkoti:t1:10,1351,,yē,mother,matched on form and gloss
kalkoti:t1:11,12753,,śōr,father-in-law,matched on form and gloss
kalkoti:t1:12,12759,,irpæṣ,mother-in-law,matched on form and gloss
kalkoti:t1:13,8188,,pitri,father's brother,matched on form and gloss
kalkoti:t1:14,10009,,mōl,mother's brother,matched on form and gloss
kalkoti:t1:15,9089,,pʰēp,father's sister,matched on form and gloss
kalkoti:t1:16,10001,,mēś,mother's sister,matched on form and gloss
kalkoti:t1:17,8265,,pū,son,matched on form and gloss
kalkoti:t1:18,8271,,pē,daughter,matched on form and gloss
kalkoti:t1:19,8416,,pōtr,son's son,matched on form and gloss
kalkoti:t1:2,9349,,bǣn,sister,matched on form and gloss
kalkoti:t1:20,8417,,pētr,son's daughter,matched on form and gloss
kalkoti:t1:21,6261,,dād,father's father,matched on form and gloss
kalkoti:t1:22,6261,,dēd,father's mother,matched on form and gloss
kalkoti:t1:23,10055,,mām,mother's father,matched on form and gloss
kalkoti:t1:24,10058,,mēm,mother's mother,matched on form and gloss
kalkoti:t1:3,9467,,bæræ,husband,matched on form and gloss
kalkoti:t1:4,13734,Unclear where *-r* is from.,trēr,wife,matched on form and gloss
kalkoti:t1:5,6546,,dǣr,husband's brother,matched on form and gloss
kalkoti:t1:6,5198,,jæmæl,husband's sister,matched on form and gloss
kalkoti:t1:7,12767,Where did the second sibilant go?,śæyir,wife's brother,matched on form and gloss
kalkoti:t1:8,13871,,særæn,wife's sister,matched on form and gloss
kalkoti:t1:9,9209,,bab,father,matched on form and gloss
kalkoti:t20:1,e34,,cuṇūn,writes,matched on form and gloss
kalkoti:t2:10:ipfv,8012,,pæśūn,sees,matched on form and gloss
kalkoti:t2:10:pfv,6518,,driṣ,saw,matched on form and gloss
kalkoti:t2:11:ipfv,8209,,pilūn,drinks,matched on form and gloss
kalkoti:t2:12:ipfv,2245,,biśūn,sits,first printed in table 2
kalkoti:t2:12:pfv,14327,,bæṭ,sat,matched on form and gloss
kalkoti:t2:13:ipfv,9871,,mærūn,dies,matched on form and gloss
kalkoti:t2:13:pfv,10278,,mur,died,matched on form and gloss
kalkoti:t2:1:ipfv,9416,,in,is,matched on form and gloss
kalkoti:t2:1:pfv,1480,"cf. Gawri *āś* ""was""",ās,was,matched on form and gloss
kalkoti:t2:3:ipfv,13756,,tʰūn,becomes,matched on form and gloss
kalkoti:t2:4:ipfv,12225,,būn,goes,matched on form and gloss
kalkoti:t2:4:pfv,4008,,gō,gone,matched on form and gloss
kalkoti:t2:5:ipfv,6141,,dūn,gives,matched on form and gloss
kalkoti:t2:5:pfv,6140,,dit,gave,matched on form and gloss
kalkoti:t2:6:ipfv,10452,,yūn,comes,matched on form and gloss
kalkoti:t2:7:ipfv,841,,vūn,comes down,matched on form and gloss
kalkoti:t2:8:ipfv,3865,,kʰūn,eats,matched on form and gloss
kalkoti:t2:9:ipfv,7479,,nikʰūn,comes out,matched on form and gloss
kalkoti:t2:9:pfv,7114,,nikʰæt,came out,matched on form and gloss
kalkoti:t4:1pl:nom,11302,,bæ,we,matched on form and gloss
kalkoti:t4:1sg:nom,9691,,ma,I,matched on form and gloss
kalkoti:t4:2pl:nom,10511,,tis,you (pl),matched on form and gloss
kalkoti:t4:2sg:nom,5889,,tu,you (sg),first printed in table 4
kalkoti:t4:3sg:nom,12815,,sō,"he, she, it (3sg)",first printed in table 4
kalkoti:t5:1,2462,,æk,one,matched on form and gloss
kalkoti:t5:10,6227,,dēś,ten,matched on form and gloss
kalkoti:t5:11,2485,,akāś,eleven,matched on form and gloss
kalkoti:t5:12,6658,,bāś,twelve,matched on form and gloss
kalkoti:t5:2,6648,,dū,two,matched on form and gloss
kalkoti:t5:3,5994,,trā,three,matched on form and gloss
kalkoti:t5:4,4655,,cōr,four,matched on form and gloss
kalkoti:t5:5,7655,,pāñj,five,the 2022 form wrote ñ; the Palula and CDIAL routes both write nj
kalkoti:t5:6,12803,,ṣō,six,matched on form and gloss
kalkoti:t5:7,13139,,sāt,seven,matched on form and gloss
kalkoti:t5:8,941,,ēṣ,eight,matched on form and gloss
kalkoti:t5:9,6984,,nam,nine,matched on form and gloss
kalkoti:t8:2,2892,,trām,work,matched on form and gloss
kalkoti:t8:3,6368,,drig,long,first printed in table 8
kalkoti:t8:4,4368,,drām,village,matched on form and gloss
kalkoti:t9:1,13573,,sīr,sun,matched on form and gloss
kalkoti:t9:2,5798,,tār,star,matched on form and gloss
kalkoti:t9:3,43,,ic̣ī,eye,matched on form and gloss
kalkoti:t9:4,3438,,trimī,worm,matched on form and gloss
