unit|region|pdf_page|form|gloss|context
t25:9:vn|t25|48|bä̀äl|become|column=vn
t25:10:pfv|t25|48|čuṇil|write|column=pfv
t25:10:ipfv|t25|48|čuṇuun|write|column=ipfv
t25:10:vn|t25|48|čuṇil|write|column=vn
t25:11:pfv|t25|48|waat|come down|column=pfv
t25:11:ipfv|t25|48|wuun|come down|column=ipfv
t25:11:vn|t25|48|waal|come down|column=vn
t26:1:ipfv|t26|49|päšuun|see|column=ipfv
t26:1:pfv|t26|49|driṣ|see|column=pfv
t26:2:ipfv|t26|49|päšuun|show|column=ipfv
t26:2:pfv|t26|49|päšaál|show|column=pfv
t7:1:1|t7|16|gäṇil|tied|phonetic=[gəɳɪl]; place=retroflex
t7:1:2|t7|16|phuṇ|flower|phonetic=[pʰʊɳ]; place=retroflex
t7:2:1|t7|16|ṭangur|pear|phonetic=[ʈɒŋgʊɾ]; place=velar
t7:2:2|t7|16|naang|snake|phonetic=[nɑːŋ]; place=velar
t11:1:direct:sg|t11|25|meéš|man|case=direct; number=sg
t11:1:direct:pl|t11|25|míšaal|man|case=direct; number=pl
t11:2:direct:sg|t11|25|mälgir|friend|case=direct; number=sg
t11:2:direct:pl|t11|25|mälgir|friend|case=direct; number=pl
t11:1:oblique:sg|t11|25|meéš|man|case=oblique; number=sg
t11:1:oblique:pl|t11|25|míšaal-úm|man|case=oblique; number=pl
t11:2:oblique:sg|t11|25|mälgir|friend|case=oblique; number=sg
t11:2:oblique:pl|t11|25|mälgir-um|friend|case=oblique; number=pl
t11:1:erg-gen:sg|t11|25|meéš=ä|man|case=erg-gen; number=sg
t11:1:erg-gen:pl|t11|25|míšaal-úm=ä|man|case=erg-gen; number=pl
t11:2:erg-gen:sg|t11|25|mälgir=ä|friend|case=erg-gen; number=sg
t11:2:erg-gen:pl|t11|25|mälgir-um=ä|friend|case=erg-gen; number=pl
t14:1sg:nominative|t14|30|ma||case=nominative; person=1sg
t14:2sg:nominative|t14|30|tu||case=nominative; person=2sg
t14:3sg.near:nominative|t14|30|roo||case=nominative; person=3sg.near
t14:3sg.far:nominative|t14|30|soo||case=nominative; person=3sg.far
t14:1pl:nominative|t14|30|bä||case=nominative; person=1pl
t14:2pl:nominative|t14|30|tis||case=nominative; person=2pl
t14:3pl.near:nominative|t14|30|rin||case=nominative; person=3pl.near
t14:3pl.far:nominative|t14|30|tin||case=nominative; person=3pl.far
t14:1sg:accusative|t14|30|ma||case=accusative; person=1sg
t14:2sg:accusative|t14|30|tu||case=accusative; person=2sg
t14:3sg.near:accusative|t14|30|räs||case=accusative; person=3sg.near
t14:3sg.far:accusative|t14|30|täs||case=accusative; person=3sg.far
t14:1pl:accusative|t14|30|äsaan||case=accusative; person=1pl
t14:2pl:accusative|t14|30|tusaan||case=accusative; person=2pl
t14:3pl.near:accusative|t14|30|räna||case=accusative; person=3pl.near
t14:3pl.far:accusative|t14|30|täna||case=accusative; person=3pl.far
t14:1sg:ergative|t14|30|mi||case=ergative; person=1sg
t14:2sg:ergative|t14|30|thi||case=ergative; person=2sg
t14:3sg.near:ergative|t14|30|rä||case=ergative; person=3sg.near
t14:3sg.far:ergative|t14|30|tä||case=ergative; person=3sg.far
t14:1pl:ergative|t14|30|is||case=ergative; person=1pl
t14:2pl:ergative|t14|30|tis||case=ergative; person=2pl
t14:3pl.near:ergative|t14|30|rin||case=ergative; person=3pl.near
t14:3pl.far:ergative|t14|30|tin||case=ergative; person=3pl.far
t14:1sg:genitive|t14|30|mi||case=genitive; person=1sg
t14:2sg:genitive|t14|30|thi||case=genitive; person=2sg
t14:3sg.near:genitive|t14|30|räsi||case=genitive; person=3sg.near
t14:3sg.far:genitive|t14|30|täsi||case=genitive; person=3sg.far
t14:1pl:genitive|t14|30|äsi||case=genitive; person=1pl
t14:2pl:genitive|t14|30|tusi||case=genitive; person=2pl
t14:3pl.near:genitive|t14|30|räni||case=genitive; person=3pl.near
t14:3pl.far:genitive|t14|30|täni||case=genitive; person=3pl.far
t15:1:m|t15|32|gan ṣiṣ|big|gender=m; phrase=big head; headword=big
t15:1:f|t15|32|gän ä šii|big|gender=f; phrase=a big house; headword=big
t15:2:m|t15|32|lukuṭ puṭooš|small|gender=m; phrase=little boy; headword=small
t15:2:f|t15|32|likiṭ piṭeeš|small|gender=f; phrase=little girl; headword=small
t15:3:m|t15|32|un meéš raán in|good|gender=m; phrase=this man is good; headword=good
t15:3:f|t15|32|geél reén in|good|gender=f; phrase=bread is good; headword=good
t16:1|t16|32|äk|1|value=1
t16:11|t16|32|äkaáš|11|value=11
t16:21|t16|32|äk-tée-bíiš|21|value=21
t16:31|t16|32|äkaáš-tée-bíiš|31|value=31
t16:50|t16|32|diš-tée-dubíiš|50|value=50
t16:2|t16|32|duu|2|value=2
t16:12|t16|32|baáš|12|value=12
t16:22|t16|32|duu-tée-bíiš|22|value=22
t16:32|t16|32|baáš-tée-bíiš|32|value=32
t16:60|t16|32|träbíiš|60|value=60
t16:3|t16|32|traa|3|value=3
t16:13|t16|32|treéš|13|value=13
t16:23|t16|32|traa-tée-bíiš|23|value=23
t16:33|t16|32|treéš-tée-bíiš|33|value=33
t16:70|t16|32|diš-tée-träbíiš|70|value=70
t16:4|t16|32|čoor|4|value=4
t16:14|t16|32|čändeéš|14|value=14
t16:24|t16|32|čoor-tée-bíiš|24|value=24
t16:34|t16|32|čändeéš-tée-bíiš|34|value=34
t16:80|t16|32|čurbíiš|80|value=80
t16:5|t16|32|paanǰ|5|value=5
t16:15|t16|32|pänǰeéš|15|value=15
t16:25|t16|32|paanǰ-tée-bíiš|25|value=25
t16:35|t16|32|pänǰeéš-tée-bíiš|35|value=35
t16:90|t16|32|diš-tée-čurbíiš|90|value=90
t16:6|t16|32|ṣu|6|value=6
t16:16|t16|32|ṣureéš|16|value=16
t16:26|t16|32|ṣu-tée-bíiš|26|value=26
t16:36|t16|32|čoor-kum-dubíiš|36|value=36
t16:100|t16|32|paanǰbíiš|100|value=100
t16:7|t16|32|saat|7|value=7
t16:17|t16|32|sätaáš|17|value=17
t16:27|t16|32|saat-tée-bíiš|27|value=27
t16:37|t16|32|traa-kum-dubíiš|37|value=37
t16:110|t16|32|diš-tée-paanǰbíiš|110|value=110
t16:8|t16|32|iṣ|8|value=8
t16:18|t16|32|iṣṭaáš|18|value=18
t16:28|t16|32|iṣ-tée-bíiš|28|value=28
t16:38|t16|32|duu-kum-dubíiš|38|value=38
t16:120|t16|32|ṣubíiš|120|value=120
t16:9|t16|32|num|9|value=9
t16:19|t16|32|änbíiš|19|value=19
t16:29|t16|32|num-tée-bíiš|29|value=29
t16:39|t16|32|äk-kum-dubíiš|39|value=39
t16:200|t16|32|du soo|200|value=200
t16:10|t16|32|diš|10|value=10
t16:20|t16|32|bíiš|20|value=20
t16:30|t16|32|diš-tée-bíiš|30|value=30
t16:40|t16|32|dubíiš|40|value=40
t16:1000|t16|32|zir|1000|value=1000
t17:1|t17|39|daan|tooth|gender=masculine; comparison=Palula dáand ‘tooth’ (m.)
t17:2|t17|39|ṣiṣ|head|gender=masculine; comparison=Palula ṣiṣ ‘head’ (m.)
t17:3|t17|39|wää|water|gender=masculine; comparison=Palula wíi ‘water’ (m.)
t17:4|t17|39|phäṇoos|ball|gender=masculine; comparison=Pashto سوډﻨﭘ (pənḍos) ‘ball’ (m.)
t17:5|t17|39|boor|leopard|gender=masculine; comparison=Gawri boor ‘leopard, lion’ (m.)
t17:6|t17|39|paan|path|gender=feminine; comparison=Palula páand ‘path’ (f.)
t17:7|t17|39|niin|sleep|gender=feminine; comparison=Palula níindra ‘sleep’ (f.)
t17:8|t17|39|šii|house|gender=feminine; comparison=Gawri šiṭ ‘house’ (f.)
t17:9|t17|39|bäkhin|arm|gender=feminine; comparison=Gawri bookhin ‘elbow’ (f.)
t17:10|t17|39|päṣin|bird|gender=feminine; comparison=Gawri päc̣hin ‘bird’ (f.)
t17:11|t17|39|geél|bread|gender=feminine; comparison=Gawri geel ‘bread’ (f.)
t19:1:msg|t19|41|buun|go|column=msg
t19:1:mpl|t19|41|baan|go|column=mpl
t19:1:f|t19|41|biin|go|column=f
t19:2:msg|t19|41|duun|give|column=msg
t19:2:mpl|t19|41|daan|give|column=mpl
t19:2:f|t19|41|diin|give|column=f
t19:3:msg|t19|41|bìšuun|sit|column=msg
t19:3:mpl|t19|41|bìšaan|sit|column=mpl
t19:3:f|t19|41|bìšiin|sit|column=f
t19:4:msg|t19|41|čhinuun|cut|column=msg
t19:4:mpl|t19|41|čhinaan|cut|column=mpl
t19:4:f|t19|41|čhiniin|cut|column=f
t19:5:msg|t19|41|khusuun|cough|column=msg
t19:5:mpl|t19|41|khusaan|cough|column=mpl
t19:5:f|t19|41|khusiin|cough|column=f
t19:6:msg|t19|41|bùun|become|column=msg
t19:6:mpl|t19|41|bàan|become|column=mpl
t19:6:f|t19|41|bìin|become|column=f
t19:7:msg|t19|41|yùun|come|column=msg
t19:7:mpl|t19|41|yàan|come|column=mpl
t19:7:f|t19|41|yìin|come|column=f
t21:0:ipfv|t21|43|th-uun|do|column=ipfv
t21:0:pfv|t21|43|thää́l|do|column=pfv
t21:1:ipfv|t21|43|y-ùun|come|column=ipfv
t21:1:pfv:1|t21|43|yaál|come|column=pfv; agreement=m
t21:1:pfv:2|t21|43|yeél|come|column=pfv; agreement=f
t21:4:ipfv|t21|43|d-uun|give|column=ipfv
t21:4:pfv|t21|43|dit|give|column=pfv
t21:5:ipfv|t21|43|w-uun|come down|column=ipfv
t21:5:pfv|t21|43|waat|come down|column=pfv
t21:6:ipfv|t21|43|nikh-uun|come out|column=ipfv
t21:6:pfv|t21|43|nikhät|come out|column=pfv
t21:7:ipfv|t21|43|pil-uun|drink|column=ipfv
t21:7:pfv|t21|43|píil|drink|column=pfv
t21:8:ipfv|t21|43|mär-uun|die|column=ipfv
t21:8:pfv|t21|43|múr|die|column=pfv
t21:9:ipfv|t21|43|bìš-uun|sit|column=ipfv
t21:9:pfv|t21|43|bä̀ṭ|sit|column=pfv
t21:10:ipfv|t21|43|päš-uun|see|column=ipfv
t21:10:pfv|t21|43|driṣ|see|column=pfv
t21:11:ipfv|t21|43|b-uun|go|column=ipfv
t21:11:pfv:1|t21|43|goo|go|column=pfv; agreement=m.sg
t21:11:pfv:2|t21|43|gee|go|column=pfv; agreement=m.pl, f
t23:1:pfv|t23|45|čuṇil|wrote|column=pfv
t23:1:pluperfect|t23|45|čuṇis|had written|column=pluperfect
t23:2:pfv|t23|45|bä̀ṭ|sat|column=pfv
t23:2:pluperfect|t23|45|bä̀s|had sat|column=pluperfect
t23:3:pfv|t23|45|goo|(he) went|column=pfv
t23:3:pluperfect|t23|45|goos|(he) had gone|column=pluperfect
t23:4:pfv|t23|45|yaál|(he) came|column=pfv
t23:4:pluperfect|t23|45|yaás|(he) had come|column=pluperfect
t23:5:pfv|t23|45|driṣ|saw|column=pfv
t23:5:pluperfect|t23|45|dris|had seen|column=pluperfect
t23:6:pfv|t23|45|buṣilyiit|became hungry|column=pfv
t23:6:pluperfect|t23|45|buṣilyiis|had become hungry, was hungry|column=pluperfect
t28:affirmative:pres|t28|56|in||polarity=affirmative; tense=pres
t28:affirmative:past|t28|56|aas||polarity=affirmative; tense=past
t28:negative:pres|t28|56|nä||polarity=negative; tense=pres
t28:negative:past|t28|56|nä aas||polarity=negative; tense=past
ex5a:1|interlinear|26|äsi|1pl.gen|example=5a; reference=U23a-28; translation=The guests will come to our house tomorrow
ex5a:2|interlinear|26|šii=thä|house=to|example=5a; reference=U23a-28; translation=The guests will come to our house tomorrow
ex5a:3|interlinear|26|lapaár|tomorrow|example=5a; reference=U23a-28; translation=The guests will come to our house tomorrow
ex5a:4|interlinear|26|traač|guest|example=5a; reference=U23a-28; translation=The guests will come to our house tomorrow
ex5a:5|interlinear|26|y-àan|come-ipfv.m.pl|example=5a; reference=U23a-28; translation=The guests will come to our house tomorrow
ex6a:1|interlinear|27|mi|1sg.gen|example=6a; reference=MJ06a-146; translation=My friends saw this film.
ex6a:2|interlinear|27|mälgir-um=ä|friend-obl.pl=erg|example=6a; reference=MJ06a-146; translation=My friends saw this film.
ex6a:3|interlinear|27|un|this|example=6a; reference=MJ06a-146; translation=My friends saw this film.
ex6a:4|interlinear|27|filäm|film|example=6a; reference=MJ06a-146; translation=My friends saw this film.
ex6a:5|interlinear|27|driṣ|see.pfv|example=6a; reference=MJ06a-146; translation=My friends saw this film.
ex7a:1|interlinear|27|mi|1sg.gen|example=7a; reference=U23a-20; translation=My friend has a headache
ex7a:2|interlinear|27|mälgir=ä|friend=gen|example=7a; reference=U23a-20; translation=My friend has a headache
ex7a:3|interlinear|27|ṣiṣ|head|example=7a; reference=U23a-20; translation=My friend has a headache
ex7a:4|interlinear|27|šil-uun|hurt-ipfv.m.sg|example=7a; reference=U23a-20; translation=My friend has a headache
ex8a:1|interlinear|28|púu|boy|example=8a; reference=JK15d-62; translation=The boy is playing.
ex8a:2|interlinear|28|näṭ-uun|play-ipfv.m.sg|example=8a; reference=JK15d-62; translation=The boy is playing.
ex9a:1|interlinear|28|täsi|3sg.gen|example=9a; reference=MJ06a-101; translation=She had one daughter.
ex9a:2|interlinear|28|ä|one|example=9a; reference=MJ06a-101; translation=She had one daughter.
ex9a:3|interlinear|28|pee|girl|example=9a; reference=MJ06a-101; translation=She had one daughter.
ex9a:4|interlinear|28|aas|cop.pst|example=9a; reference=MJ06a-101; translation=She had one daughter.
ex10a:1|interlinear|29|is|1pl.erg|example=10a; reference=JK15d-36; translation=We gave the books to the children.
ex10a:2|interlinear|29|läḍkúr-um=thä|boy.pl-obl.pl=dat|example=10a; reference=JK15d-36; translation=We gave the books to the children.
ex10a:3|interlinear|29|kitaáb-uni|book-pl|example=10a; reference=JK15d-36; translation=We gave the books to the children.
ex10a:4|interlinear|29|dit|give.pfv|example=10a; reference=JK15d-36; translation=We gave the books to the children.
ex10b:1|interlinear|29|mi|1sg.gen|example=10b; reference=MJ06a-146; translation=My friends saw this film.
ex10b:2|interlinear|29|mälgir-um=ä|friend-obl.pl=erg|example=10b; reference=MJ06a-146; translation=My friends saw this film.
ex10b:3|interlinear|29|un|this|example=10b; reference=MJ06a-146; translation=My friends saw this film.
ex10b:4|interlinear|29|filäm|film|example=10b; reference=MJ06a-146; translation=My friends saw this film.
ex10b:5|interlinear|29|driṣ|see.pfv|example=10b; reference=MJ06a-146; translation=My friends saw this film.
ex10c:1|interlinear|29|suwaa|all|example=10c; reference=U23a-21; translation=All the students have headaches.
ex10c:2|interlinear|29|šägird-aan-um=ä|student-pl-obl.pl=gen|example=10c; reference=U23a-21; translation=All the students have headaches.
ex10c:3|interlinear|29|ṣiṣ|head|example=10c; reference=U23a-21; translation=All the students have headaches.
ex10c:4|interlinear|29|šil-uun|hurt-ipfv.m.sg|example=10c; reference=U23a-21; translation=All the students have headaches.
ex11a:1|interlinear|29|míšaal-úm|man.pl-obl.pl|example=11a; reference=JK15d-11; translation=The men searched for the women.
ex11a:2|interlinear|29|triyaal-um=dii|woman.pl-obl.pl=at?|example=11a; reference=JK15d-11; translation=The men searched for the women.
ex11a:3|interlinear|29|nal-il|look-pfv|example=11a; reference=JK15d-11; translation=The men searched for the women.
ex12a:1|interlinear|30|läḍkúr|boy.pl|example=12a; reference=JK15d-51; translation=The children sat down on the bench.
ex12a:2|interlinear|30|sängaás=ral|bench=onto|example=12a; reference=JK15d-51; translation=The children sat down on the bench.
ex12a:3|interlinear|30|bä̀ṭ|sit.pfv|example=12a; reference=JK15d-51; translation=The children sat down on the bench.
ex12b:1|interlinear|30|boor|leopard|example=12b; reference=MI06b-64; translation=Leopards eat men.’ [lit. ‘Leopard eats men.
ex12b:2|interlinear|30|míšaal|man.pl|example=12b; reference=MI06b-64; translation=Leopards eat men.’ [lit. ‘Leopard eats men.
ex12b:3|interlinear|30|kh-uun|eat-ipfv.m.sg|example=12b; reference=MI06b-64; translation=Leopards eat men.’ [lit. ‘Leopard eats men.
ex13a:1|interlinear|31|mi|1sg.erg|example=13a; reference=MJ06a-27; translation=I brought a letter from him.
ex13a:2|interlinear|31|täs=dä|3sg.acc=from|example=13a; reference=MJ06a-27; translation=I brought a letter from him.
ex13a:3|interlinear|31|ä|a|example=13a; reference=MJ06a-27; translation=I brought a letter from him.
ex13a:4|interlinear|31|xat|letter|example=13a; reference=MJ06a-27; translation=I brought a letter from him.
ex13a:5|interlinear|31|g-ì|take-cvb|example=13a; reference=MJ06a-27; translation=I brought a letter from him.
ex13a:6|interlinear|31|yaál|come.pfv.m|example=13a; reference=MJ06a-27; translation=I brought a letter from him.
ex13b:1|interlinear|31|mi|1sg.erg|example=13b; reference=MJ06a-182; translation=I saw it.
ex13b:2|interlinear|31|täs|3sg.acc|example=13b; reference=MJ06a-182; translation=I saw it.
ex13b:3|interlinear|31|driṣ|see.pfv|example=13b; reference=MJ06a-182; translation=I saw it.
ex14a:1|interlinear|31|púu|boy|example=14a; reference=JK15d-78; translation=The boy hid the frog from his mother.
ex14a:2|interlinear|31|minaák|frog|example=14a; reference=JK15d-78; translation=The boy hid the frog from his mother.
ex14a:3|interlinear|31|tani|refl|example=14a; reference=JK15d-78; translation=The boy hid the frog from his mother.
ex14a:4|interlinear|31|yeé=daa|mother=from|example=14a; reference=JK15d-78; translation=The boy hid the frog from his mother.
ex14a:5|interlinear|31|päl-aál|hide-pfv|example=14a; reference=JK15d-78; translation=The boy hid the frog from his mother.
ex14b:1|interlinear|31|ma|1sg.nom|example=14b; reference=MI06c-48; translation=I will put on my hat.
ex14b:2|interlinear|31|tani|refl|example=14b; reference=MI06c-48; translation=I will put on my hat.
ex14b:3|interlinear|31|ṭip|hat|example=14b; reference=MI06c-48; translation=I will put on my hat.
ex14b:4|interlinear|31|ṣ-uun|put_on-ipfv.m.sg|example=14b; reference=MI06c-48; translation=I will put on my hat.
ex15:1|interlinear|32|soo|3sg.nom|example=15; reference=U23a-15; translation=She is a good woman.
ex15:2|interlinear|32|raán|good.m?|example=15; reference=U23a-15; translation=She is a good woman.
ex15:3|interlinear|32|ä|indf|example=15; reference=U23a-15; translation=She is a good woman.
ex15:4|interlinear|32|treer|woman|example=15; reference=U23a-15; translation=She is a good woman.
ex15:5|interlinear|32|in|cop.prs|example=15; reference=U23a-15; translation=She is a good woman.
ex16a:1|interlinear|33|un|this|example=16a; reference=MJ06a-134; translation=This room has only three walls.
ex16a:2|interlinear|33|kämrá=ä|room=gen|example=16a; reference=MJ06a-134; translation=This room has only three walls.
ex16a:3|interlinear|33|sirif|only|example=16a; reference=MJ06a-134; translation=This room has only three walls.
ex16a:4|interlinear|33|trä|three|example=16a; reference=MJ06a-134; translation=This room has only three walls.
ex16a:5|interlinear|33|däwaal|wall|example=16a; reference=MJ06a-134; translation=This room has only three walls.
ex16a:6|interlinear|33|in|cop.prs|example=16a; reference=MJ06a-134; translation=This room has only three walls.
