Item	Site_Code	Similarity_Group	Response_Order	Manual_Transcription	Manual_Status	Legacy_Raw_Form	Legacy_Status	Legacy_Reason	Exact_Codepoint_Equal	Reconciliation_Disposition	Frozen_Manual_Cells_SHA256	Independence_Note
2	d	1	1	ʃal	attested	ʃal	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
2	e	1	1	ʃal	attested	ʃal	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
2	f	1	1	ʃal	attested	ʃal	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
2	g	1	1	ʃal	attested	ʃal	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
2	h	1	1	ʃal	attested	ʃal	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
2	i	1	1	ʃal	attested	ʃal	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
2	j	3	1	jao̯ bri	attested	jao � bɾi	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
2	k	3	1	jao̯ bri	attested	jao � bɾi	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
2	l	2	1	raŋʃaŋ	attested	ranʃaŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
2	m	2	1	raŋʃaŋ	attested	raŋʃan	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
2	n	1	1	ʃal	attested	ʃal	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
2	o	1	1	ʃal	attested	ʃal	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
2	p	5	1	sɨŋŋei̯	attested	sɨŋŋei �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	0	7	1	tʃãd	attested	tʃad�	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	a	1	1	dʒadʒoŋ	attested	ɖʒaɖʒoŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	b	2	1	raŋrɛ	attested	raŋɾɛ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	c	2	1	raŋɡrɛkʼ	attested	raŋɡɾɛk̚	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	d	1	1	dʒadʒoŋ	attested	ɖʒaɖʒoŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	e	1	1	dʒadʒoŋ	attested	ɖʒaɖʒoŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	e	3	2	dʒonatʼ	attested	ɖʒonat̚	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	f	1	1	dʒadʒoŋ	attested	ɖʒaɖʒoŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	g	3	1	dʒonakʼ	attested	ɖʒonak̚	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	g	6	2	dʒonakʼ	attested	ɖʒonak̚	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	h	3	1	dʒonakʼ	attested	ɖʒonak̚	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	h	6	2	dʒonakʼ	attested	ɖʒonak̚	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	i	1	1	dʒadʒoŋ	attested	ɖʒaɖʒoŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	j	4	1	tʰao̯ bti	attested	thao � bti	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	k	4	1	tʰao̯ bti	attested	thao � bti	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	l	5	1	tʃaŋ ai̯	attested	tʃaŋ ai �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	m	5	1	tʃaŋ ɨi̯	attested	tʃaŋ ɨi �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	n	6	1	dʒanokʼ	attested	ɖʒanok̚	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	o	1	1	dʒadʒoŋ	attested	ɖʒaɖʒoŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
3	p	8	1	bni	attested	bni	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	0	5	1	tara	attested	taɾa	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	a	1	1	aʃki	attested	aʃki	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	a	2	2	aʃki	attested	aʃki	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	b	5	1	tara	attested	taɾa	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	c	5	1	tara	attested	taɾa	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	d	1	1	aʃki	attested	aʃki	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	d	2	2	aʃki	attested	aʃki	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	e	2	1	aʃukʰi	attested	aʃukhi	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	e	3	2	aʃukʰi	attested	aʃukhi	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	f	2	1	aʃikʰi	attested	aʃikhi	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	f	3	2	aʃikʰi	attested	aʃikhi	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	g	1	1	aʃki	attested	aʃki	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	g	2	2	aʃki	attested	aʃki	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	h	1	1	aʃki	attested	aʃki	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	h	2	2	aʃki	attested	aʃki	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	i	1	1	askʰi	attested	askhi	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	i	3	2	askʰi	attested	askhi	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	j	4	1	kʰlor	attested	khlor	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	k	4	1	kʰlor	attested	khlor	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	l	1	1	askui̯	attested	askui �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	m	1	1	askui̯	attested	askui �	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	n	2	1	aʃuki	attested	aʃuki	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	o	1	1	aʃki	attested	aʃki	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	o	2	2	aʃki	attested	aʃki	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
4	p	4	1	kʰlɔr	attested	khlɔr	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
5	0	3	1	mɛɡʰ	attested	mɛɡh	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
5	a	1	1	ɡadɨla	attested	ɡadɨla	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
5	b	1	1	ɡadla	attested	ɡadla	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
5	c	1	1	ɡadla	attested	ɡadla	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
5	d	1	1	ɡadla	attested	ɡadla	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
5	e	1	1	ɡadɨla	attested	ɡadila	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
5	f	1	1	ɡadla	attested	ɡadla	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
5	g	1	1	ɡadla	attested	ɡadla	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
5	h	1	1	ɡadla	attested	ɡadla	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
5	i	1	1	ɡadɨla	attested	ɡadɨla	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
5	j	2	1	loʔo	attested	lo o	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
5	k	2	1	loʔo	attested	lo o	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
5	l	1	1	ɡadɨla	attested	ɡadɨla	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
5	m	1	1	ɡadʒɨla	attested	ɡaɖʒɨla	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
5	n	1	1	ɡadla	attested	ɡadla	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
5	o	1	1	ɡadɨla	attested	ɡadɨla	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
5	p	0	1		source_blank	no entry	excluded	printed gap: the item was not elicited at this site	no	manual source blank; legacy audit also records a printed gap	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
