Item	PDF_Page	Printed_Page	Column	Header_OCR	Site	Role	Site_OCR	Raw_OCR	Raw_OCR_Primary	Raw_OCR_Secondary	Raw_OCR_Latin	OCR_Pass	Blank	Alignment_Note	Transcription	Review	Uncertainty
3	28	21	3	3. hair	HNG	target	HNG	1 bal	1 bal	1 bal	1 baf	tesseract_psm6	0	token=HNG;edit=0;score=0.00		pending	
3	28	21	3	3. hair	BPL	comparison	BPL	1 bac	1 bac	1 bac	1 barc	tesseract_psm6	0	token=BPL;edit=0;score=0.00		audit-only comparison	
3	28	21	3	3. hair	HTR	target	HTR	1 bala	1 bala	1 bala	1 baļə	tesseract_psm6	0	token=HTR;edit=0;score=0.00		pending	
3	28	21	3	3. hair	HLH	target	HLH	1 bal	1 bal	1 bal	1 bal	tesseract_psm6	0	token=HLH;edit=0;score=0.00		pending	
3	28	21	3	3. hair	PBG	comparison	PBG	1 bal	1 bal	1 bal	1 bal	tesseract_psm6	0	token=PBG;edit=0;score=0.00		audit-only comparison	
3	28	21	3	3. hair	HIN	comparison	HIN	1 bal	1 bal	1 bal	1 bal	tesseract_psm6	0	token=HIN;edit=0;score=0.00		audit-only comparison	
3	28	21	3	3. hair	PUN	comparison	PUN	1 bal /2 kes	1 bal /2 kes	1 bal /2 kes	1 baļ| /2 kes	tesseract_psm6	0	token=PUN;edit=0;score=0.00		audit-only comparison	
4	28	21	1	4. face.	HRT	target	HRT	1 fekel ¢2 t*opda	1 fekel ¢2 t*opda	1 fekel ¢2 t*opda	1 fekel 72 tħopda	tesseract_psm6	0	token=HRT;edit=0;score=0.00		pending	
4	28	21	1	4. face.	HJN	target	HJN	(same as mouth)	(same as mouth)	(same as mouth)	(same as mouth)	tesseract_psm6	0	token=HJN;edit=0;score=0.00		pending	
4	28	21	1	4. face.	HFT	target	HFT	1 fekel	1 fekel	1 fekel	1 fekel	tesseract_psm6	0	token=HFT;edit=0;score=0.00		pending	
4	28	21	1	4. face.	HNG	target	HNG	(same as mouth)	(same as mouth)	(same as mouth)	(same as mouth)	tesseract_psm6	0	token=HNG;edit=0;score=0.00		pending	
4	28	21	1	4. face.	BPL	comparison	BPL	3 monda	3 monda	3 monda	3 monda	tesseract_psm6	0	token=BPL;edit=0;score=0.00		audit-only comparison	
4	28	21	1	4. face.	HTR	target	HTR	4 tfehera	4 tfehera	4 tfehera	4 tfehera	tesseract_psm6	0	token=HTR;edit=0;score=0.00		pending	
4	28	21	1	4. face.	HLH	target	HLH	(same as mouth)	(same as mouth)	(same as mouth)	(same as mouth)	tesseract_psm6	0	token=HLH;edit=0;score=0.00		pending	
4	28	21	1	4. face.	PBG	comparison	PUG	(same as moullh)	(same as moullh)	(same as moullh)	(same as moulh)	tesseract_psm6	0	token=PUG;edit=1;score=1.00		audit-only comparison	
4	28	21	1	4. face.	HIN	comparison	HIN	4 tfehara (Ul) ? (mouth)	4 tfehara (Ul) ? (mouth)	4 tfehara (Ul) ? (mouth)	4 tfehara (HU) ? (mouth)	tesseract_psm6	0	token=HIN;edit=0;score=0.00		audit-only comparison	
4	28	21	1	4. face.	PUN	comparison	PUN	(same as mouth)	(same as mouth)	(same as mouth)	(same as mouth)	tesseract_psm6	0	token=PUN;edit=0;score=0.00		audit-only comparison	
5	28	21	2	3. eye	HRT	target	HRT	1 &k	1 &k	1 &k	1 žk	tesseract_psm6	0	token=HRT;edit=0;score=0.00		pending	
5	28	21	2	3. eye	HJN	target	HJN	1 ak*	1 ak*	1 ak*	1 ak’	tesseract_psm6	0	token=HJN;edit=0;score=0.00		pending	
5	28	21	2	3. eye	HFT	target	HFT	1 ank /2 najan	1 ank /2 najan	1 ank /2 najan	1 ägk ?/2 najan	tesseract_psm6	0	token=HFT;edit=0;score=0.00		pending	
5	28	21	2	3. eye	HNG	target	HNG	1 ank*	1 ank*	1 ank*	1 änkb	tesseract_psm6	0	token=HNG;edit=0;score=0.00		pending	
5	28	21	2	3. eye	BPL	comparison	BPL	1 ank*	1 ank*	1 ank*	1 ank’	tesseract_psm6	0	token=BPL;edit=0;score=0.00		audit-only comparison	
5	28	21	2	3. eye	HTR	target	WTR	1 ank*	1 ank*	1 ank*	1 ank’	tesseract_psm6	0	token=WTR;edit=1;score=1.00		pending	
5	28	21	2	3. eye	HLH	target	HLH	1 2nkh	1 2nkh	1 2nkh	1 ænkP	tesseract_psm6	0	token=HLH;edit=0;score=0.00		pending	
5	28	21	2	3. eye	PBG	comparison	PUG	1 aks	1 aks	1 aks	1 ak»	tesseract_psm6	0	token=PUG;edit=1;score=1.00		audit-only comparison	
5	28	21	2	3. eye	HIN	comparison	HIN	1 ak*®	1 ak*®	1 ak*®	1 ak»	tesseract_psm6	0	token=HIN;edit=0;score=0.00		audit-only comparison	
5	28	21	2	3. eye	PUN	comparison	PUN	1 ak*	1 ak*	1 ak*	1 ak’	tesseract_psm6	0	token=PUN;edit=0;score=0.00		audit-only comparison	
6	28	21	3	6. ear	HRT	target	HRT	1 kan	1 kan	1 kan	1 kan	tesseract_psm6	0	token=HRT;edit=0;score=0.00		pending	
6	28	21	3	6. ear	HJN	target	HJN	1 kan	1 kan	1 kan	1 kan	tesseract_psm6	0	token=HJN;edit=0;score=0.00		pending	
6	28	21	3	6. ear	HFT	target	HFT	1 kan	1 kan	1 kan	12 kan	tesseract_psm6	0	token=HFT;edit=0;score=0.00		pending	
6	28	21	3	6. ear	HNG	target	HNG	1 kan	1 kan	1 kan	1 kan	tesseract_psm6	0	token=HNG;edit=0;score=0.00		pending	
6	28	21	3	6. ear	BPL	comparison	BPL	1 kan	1 kan	1 kan	1 kan	tesseract_psm6	0	token=BPL;edit=0;score=0.00		audit-only comparison	
6	28	21	3	6. ear	HTR	target	HTR	1 kan	1 kan	1 kan	1 kan	tesseract_psm6	0	token=HTR;edit=0;score=0.00		pending	
6	28	21	3	6. ear	HLH	target	HLH	1 kan	1 kan	1 kan	1 kan	tesseract_psm6	0	token=HLH;edit=0;score=0.00		pending	
6	28	21	3	6. ear	PBG	comparison	PRG	1 kan	1 kan	1 kan	1 kan	tesseract_psm6	0	token=PRG;edit=1;score=1.00		audit-only comparison	
6	28	21	3	6. ear	HIN	comparison	HIN	1 kan	1 kan	1 kan	å kaun	tesseract_psm6	0	token=HIN;edit=0;score=0.00		audit-only comparison	
6	28	21	3	6. ear	PUN	comparison	PUN	1 kan-°¢	1 kan-°¢	1 kan-°¢	1 kan-”	tesseract_psm6	0	token=PUN;edit=0;score=0.00		audit-only comparison	
7	28	21	1	7. nose	HRT	target	HRT	1 nak	1 nak	1 nak	1 nak	tesseract_psm6	0	token=HRT;edit=0;score=0.00		pending	
7	28	21	1	7. nose	HJN	target	HJN	1 nak	1 nak	1 nak	1 nak	tesseract_psm6	0	token=HJN;edit=0;score=0.00		pending	
7	28	21	1	7. nose	HFT	target	HFT	1 nak	1 nak	1 nak	i nak	tesseract_psm6	0	token=HFT;edit=0;score=0.00		pending	
7	28	21	1	7. nose	HNG	target	HNG	1 nak	1 nak	1 nak	1 nak	tesseract_psm6	0	token=HNG;edit=0;score=0.00		pending	
7	28	21	1	7. nose	BPL	comparison	BPL	1 nak	1 nak	1 nak	1 nak	tesseract_psm6	0	token=BPL;edit=0;score=0.00		audit-only comparison	
7	28	21	1	7. nose	HTR	target	HTR	1 nak	1 nak	1 nak	1 nak	tesseract_psm6	0	token=HTR;edit=0;score=0.00		pending	
7	28	21	1	7. nose	HLH	target	HLH	1 nak	1 nak	1 nak	i nak	tesseract_psm6	0	token=HLH;edit=0;score=0.00		pending	
7	28	21	1	7. nose	PBG	comparison	PBG	1 nak	1 nak	1 nak	1 nak	tesseract_psm6	0	token=PBG;edit=0;score=0.00		audit-only comparison	
7	28	21	1	7. nose	HIN	comparison	HIN	1 nak	1 nak	1 nak	1 nak	tesseract_psm6	0	token=HIN;edit=0;score=0.00		audit-only comparison	
7	28	21	1	7. nose	PUN	comparison	PUN	1 nak	1 nak	1 nak	1 nak	tesseract_psm6	0	token=PUN;edit=0;score=0.00		audit-only comparison	
8	28	21	2	8. mouth	HRT	target	HRT	1 mu	1 mu	1 mu	1 mu	tesseract_psm6	0	token=HRT;edit=0;score=0.00		pending	
8	28	21	2	8. mouth	HJN	target	HJN	1 mu	1 mu	1 mu	1 mu	tesseract_psm6	0	token=HJN;edit=0;score=0.00		pending	
8	28	21	2	8. mouth	HFT	target	HFT	1 mdh	1 mdh	1 mdh	1 mõh	tesseract_psm6	0	token=HFT;edit=0;score=0.00		pending	
8	28	21	2	8. mouth	HNG	target	HNG	1 mu	1 mu	1 mu	1 mu	tesseract_psm6	0	token=HNG;edit=0;score=0.00		pending	
8	28	21	2	8. mouth	BPL	comparison	BPL	1 mahd	1 mahd	1 mahd	1 mahð	tesseract_psm6	0	token=BPL;edit=0;score=0.00		audit-only comparison	
8	28	21	2	8. mouth	HTR	target	HTR	1 mo	1 mo	1 mo	1 mü	tesseract_psm6	0	token=HTR;edit=0;score=0.00		pending	
8	28	21	2	8. mouth	HLH	target	HLH	1 mu	1 mu	1 mu	1 mu	tesseract_psm6	0	token=HLH;edit=0;score=0.00		pending	
8	28	21	2	8. mouth	PBG	comparison	PBG	1 ma	1 ma	1 ma	1 mū	tesseract_psm6	0	token=PBG;edit=0;score=0.00		audit-only comparison	
8	28	21	2	8. mouth	HIN	comparison	HIN	1 mQh 7/2 muk*	1 mQh 7/2 muk*	1 mQh 7/2 muk*	1 müh /2 muk*	tesseract_psm6	0	token=HIN;edit=0;score=0.00		audit-only comparison	
8	28	21	2	8. mouth	PUN	comparison	PUN	1 mQ	1 mQ	1 mQ	1 mū	tesseract_psm6	0	token=PUN;edit=0;score=0.00		audit-only comparison	
9	28	21	3	9. teeth	HRT	target	HRT	1 dant	1 dant	1 dant	1 dapt	tesseract_psm6	0	token=HRT;edit=0;score=0.00		pending	
9	28	21	3	9. teeth	HJN	target	HJN	1 gang	1 gang	1 gang	1 dāäņpd	tesseract_psm6	0	token=HJN;edit=0;score=0.00		pending	
9	28	21	3	9. teeth	HFT	target	HFT	1 dat	1 dat	1 dat	1 dāt	tesseract_psm6	0	token=HFT;edit=0;score=0.00		pending	
9	28	21	3	9. teeth	HNG	target	HNG	1 dand	1 dand	1 dand	1 daņpd	tesseract_psm6	0	token=HNG;edit=0;score=0.00		pending	
9	28	21	3	9. teeth	BPL	comparison	BPL	1 dant	1 dant	1 dant	1 dapt	tesseract_psm6	0	token=BPL;edit=0;score=0.00		audit-only comparison	
9	28	21	3	9. teeth	HTR	target	HTR	1 dant	1 dant	1 dant	1 dapt	tesseract_psm6	0	token=HTR;edit=0;score=0.00		pending	
9	28	21	3	9. teeth	HLH	target	HLH	1 dant	1 dant	1 dant	1 dant	tesseract_psm6	0	token=HLH;edit=0;score=0.00		pending	
9	28	21	3	9. teeth	PBG	comparison	PBG	1 dand	1 dand	1 dand	1 dand	tesseract_psm6	0	token=PBG;edit=0;score=0.00		audit-only comparison	
9	28	21	3	9. teeth	HIN	comparison	HIN	1 dat	1 dat	1 dat	1 dät	tesseract_psm6	0	token=HIN;edit=0;score=0.00		audit-only comparison	
9	28	21	3	9. teeth	PUN	comparison	PUN	1 dand	1 dand	1 dand	1 gand	tesseract_psm6	0	token=PUN;edit=0;score=0.00		audit-only comparison	
10	28	21	1	10. tongeae	HRT	target	HRT	1 d3ib	1 d3ib		1 dzib	tesseract_psm6	0	token=HRT;edit=0;score=0.00		pending	
10	28	21	1	10. tongeae	HJN	target	HJN	1 d3ib	1 d3ib		1 d3ib	tesseract_psm6	0	token=HJN;edit=0;score=0.00		pending	
10	28	21	1	10. tongeae	HFT	target	HFT	1 d3tb	1 d3tb		1 d3tb	tesseract_psm6	0	token=HFT;edit=0;score=0.00		pending	
10	28	21	1	10. tongeae	HNG	target	HNG	1 d3ib	1 d3ib		1 d3ib	tesseract_psm6	0	token=HNG;edit=0;score=0.00		pending	
10	28	21	1	10. tongeae	BPL	comparison	BPL	1 dzib	1 dzib		1 d3ib	tesseract_psm6	0	token=BPL;edit=0;score=0.00		audit-only comparison	
10	28	21	1	10. tongeae	HTR	target	HTR	1 d3ib	1 d3ib		1 d3ib	tesseract_psm6	0	token=HTR;edit=0;score=0.00		pending	
10	28	21	1	10. tongeae	HLH	target	HLH	1 dzib	1 dzib		1 dzib	tesseract_psm6	0	token=HLH;edit=0;score=0.00		pending	
10	28	21	1	10. tongeae	PBG	comparison	PBG	1 d3ib	1 d3ib		1 dzib	tesseract_psm6	0	token=PBG;edit=0;score=0.00		audit-only comparison	
10	28	21	1	10. tongeae	HIN	comparison	HIN	1 dzib*	1 dzib*		1 dz3ib*	tesseract_psm6	0	token=HIN;edit=0;score=0.00		audit-only comparison	
10	28	21	1	10. tongeae	PUN	comparison	PUN	1 dsgib /2 dgeban	1 dsgib /2 dgeban		1 dgib 12 dásban	tesseract_psm6	0	token=PUN;edit=0;score=0.00		audit-only comparison	
11	28	21	2	42. breast	HRT	target	HRT	1 tfutft	1 tfutft	1 tfutft	1 tfutfi	tesseract_psm6	0	token=HRT;edit=0;score=0.00		pending	
11	28	21	2	42. breast	HJN	target	HJN					tesseract_psm6	1	token=HJN;edit=0;score=0.00		pending	
11	28	21	2	42. breast	HFT	target	HFT	1 tfatst 2 boba	1 tfatst 2 boba	1 tfatst 2 boba	1 tfatfi 12 boba	tesseract_psm6	0	token=HFT;edit=0;score=0.00		pending	
11	28	21	2	42. breast	HNG	target	HWNG	1 tfutfi /3 gughi	1 tfutfi /3 gughi	1 tfutfi /3 gughi	1 tfutfi 73 gugħi	tesseract_psm6	0	token=HWNG;edit=1;score=1.00		pending	
11	28	21	2	42. breast	BPL	comparison	BPL					tesseract_psm6	1	token=BPL;edit=0;score=0.00		audit-only comparison	
11	28	21	2	42. breast	HTR	target	HTR	1 tfatfi	1 tfatfi	1 tfatfi	1 tfatfi	tesseract_psm6	0	token=HTR;edit=0;score=0.00		pending	
11	28	21	2	42. breast	HLH	target	HLH					tesseract_psm6	1	token=HLH;edit=0;score=0.00		pending	
11	28	21	2	42. breast	PBG	comparison	PBG	1 tfati	1 tfati	1 tfati	1 tfati	tesseract_psm6	0	token=PBG;edit=0;score=0.00		audit-only comparison	
11	28	21	2	42. breast	HIN	comparison	HIN	1 stri ka tfati	1 stri ka tfati	1 stri ka tfati	1 stri ka tfati	tesseract_psm6	0	token=HIN;edit=0;score=0.00		audit-only comparison	
11	28	21	2	42. breast	PUN	comparison	PUN	2 bob-a	2 bob-a	2 bob-a	2 bob.a	tesseract_psm6	0	token=PUN;edit=0;score=0.00		audit-only comparison	
12	28	21	3	12. belly	HRT	target	HRT	1 pet /2 teund	1 pet /2 teund	1 pet /2 teund	1 pet 12 tgeund	tesseract_psm6	0	token=HRT;edit=0;score=0.00		pending	
12	28	21	3	12. belly	HJN	target	HJN	1 pet	1 pet	1 pet	1 pet	tesseract_psm6	0	token=HJN;edit=0;score=0.00		pending	
12	28	21	3	12. belly	HFT	target	HET	1 pet	1 pet	1 pet	1 pet	tesseract_psm6	0	token=HET;edit=1;score=1.00		pending	
12	28	21	3	12. belly	HNG	target	ING	1 pet /2 tond-	1 pet /2 tond-	1 pet /2 tond-	1 petț 12 tond-	tesseract_psm6	0	token=ING;edit=1;score=1.00		pending	
12	28	21	3	12. belly	BPL	comparison	BPL	1 pet /2 ta“nd	1 pet /2 ta“nd	1 pet /2 ta“nd	1 pet /2 ta“nd	tesseract_psm6	0	token=BPL;edit=0;score=0.00		audit-only comparison	
12	28	21	3	12. belly	HTR	target	HTR	1 pet /2 thond	1 pet /2 thond	1 pet /2 thond	1 pet 1/2 thopd	tesseract_psm6	0	token=HTR;edit=0;score=0.00		pending	
12	28	21	3	12. belly	HLH	target	HLH	1 pet /2 tand	1 pet /2 tand	1 pet /2 tand	1 pet ?2 ta“pd	tesseract_psm6	0	token=HLH;edit=0;score=0.00		pending	
12	28	21	3	12. belly	PBG	comparison	PBG	1 pet	1 pet	1 pet	1 pet	tesseract_psm6	0	token=PBG;edit=0;score=0.00		audit-only comparison	
12	28	21	3	12. belly	HIN	comparison	HIN	1 pet	1 pet	1 pet	1 pet	tesseract_psm6	0	token=HIN;edit=0;score=0.00		audit-only comparison	
12	28	21	3	12. belly	PUN	comparison	PUN	3 ted:	3 ted:	3 ted: -   =	3 ted.»	tesseract_psm6	0	token=PUN;edit=0;score=0.00		audit-only comparison	
13	28	21	1	13. arn	HRT	target	HRT	1 hat® /2 bodsa /3 bah	1 hat® /2 bodsa /3 bah	1 hat® /2 bodsa /3 bah	1 hatg /2 bodza 13 bāh	tesseract_psm6	0	token=HRT;edit=0;score=0.00		pending	
13	28	21	1	13. arn	HJN	target	HJN	3 ba	3 ba	3 ba	3 bä	tesseract_psm6	0	token=HJN;edit=0;score=0.00		pending	
13	28	21	1	13. arn	HFT	target	HFT	3 bah	3 bah	3 bah	3 bāh	tesseract_psm6	0	token=HFT;edit=0;score=0.00		pending	
13	28	21	1	13. arn	HNG	target	HNG	3 bd	3 bd	3 bd	3 bä	tesseract_psm6	0	token=HNG;edit=0;score=0.00		pending	
13	28	21	1	13. arn	BPL	comparison	BPL	1 hat /3 bah	1 hat /3 bah	1 hat /3 bah	1 hat /3 bāk	tesseract_psm6	0	token=BPL;edit=0;score=0.00		audit-only comparison	
13	28	21	1	13. arn	HTR	target	HTR	2 badzu /3 ba	2 badzu /3 ba	2 badzu /3 ba	2 badzu 13 bä	tesseract_psm6	0	token=HTR;edit=0;score=0.00		pending	
13	28	21	1	13. arn	HLH	target	HLH	1 hat® /3 ba	1 hat® /3 ba	1 hat® /3 ba	1 hag* /3 bä	tesseract_psm6	0	token=HLH;edit=0;score=0.00		pending	
13	28	21	1	13. arn	PBG	comparison	PBG	3 bah	3 bah	3 bah	3 bah	tesseract_psm6	0	token=PBG;edit=0;score=0.00		audit-only comparison	
13	28	21	1	13. arn	HIN	comparison	HIN	1 hat*®	1 hat*®	1 hat*®	1 hat™	tesseract_psm6	0	token=HIN;edit=0;score=0.00		audit-only comparison	
13	28	21	1	13. arn	PUN	comparison	PUN	3 ba	3 ba	3 ba	3 bå	tesseract_psm6	0	token=PUN;edit=0;score=0.00		audit-only comparison	
14	28	21	2	14. elbow	HRT	target	HRT	1 koni	1 koni	1 koni	1 koņi	tesseract_psm6	0	token=HRT;edit=0;score=0.00		pending	
14	28	21	2	14. elbow	HJN	target	HJN	1 koni	1 koni	1 koni	1 koni	tesseract_psm6	0	token=HJN;edit=0;score=0.00		pending	
14	28	21	2	14. elbow	HFT	target	HFT	1 kuni	1 kuni	1 kuni	1 kuni	tesseract_psm6	0	token=HFT;edit=0;score=0.00		pending	
14	28	21	2	14. elbow	HNG	target	HNG	1 kuni	1 kuni	1 kuni	1 kuni	tesseract_psm6	0	token=HNG;edit=0;score=0.00		pending	
14	28	21	2	14. elbow	BPL	comparison	BPL	1 kohoni	1 kohoni	1 kohoni	1 kohoni	tesseract_psm6	0	token=BPL;edit=0;score=0.00		audit-only comparison	
14	28	21	2	14. elbow	HTR	target	HTR	1 kohuni	1 kohuni	1 kohuni	1 kohuqi	tesseract_psm6	0	token=HTR;edit=0;score=0.00		pending	
14	28	21	2	14. elbow	HLH	target	HLH	1 koy!	1 koy!	1 koy!	1 koq!	tesseract_psm6	0	token=HLH;edit=0;score=0.00		pending	
14	28	21	2	14. elbow	PBG	comparison	PBG	1 adkani	1 adkani	1 adkani	1 adkani	tesseract_psm6	0	token=PBG;edit=0;score=0.00		audit-only comparison	
14	28	21	2	14. elbow	HIN	comparison	HIN	1 kahoni	1 kahoni	1 kahoni	1 kahoni	tesseract_psm6	0	token=HIN;edit=0;score=0.00		audit-only comparison	
14	28	21	2	14. elbow	PUN	comparison	PUN	1 koni ?/2 arak	1 koni ?/2 arak	1 koni ?/2 arak	1 koni }2 arak	tesseract_psm6	0	token=PUN;edit=0;score=0.00		audit-only comparison	
15	28	21	3	13. palm	HRT	target	HRT	1 hathell	1 hathell	1 hathell	1 hatteļi	tesseract_psm6	0	token=HRT;edit=0;score=0.00		pending	
15	28	21	3	13. palm	HJN	target	HJN	1 hathelLi /1theLi	1 hathelLi /1theLi	1 hathelLi /1theLi	1 haġgħeli /1łħeĻi	tesseract_psm6	0	token=HJN;edit=0;score=0.00		pending	
15	28	21	3	13. palm	HFT	target	HET	1 hagheli /1itelt	1 hagheli /1itelt	1 haghelt /ithelt	1 haġħelt /itħeļi	tesseract_psm6	0	token=HET;edit=1;score=1.00		pending	
15	28	21	3	13. palm	HNG	target	HNG	1 theLi	1 theLi	1 theLi	1 ġħeli	tesseract_psm6	0	token=HNG;edit=0;score=0.00		pending	
15	28	21	3	13. palm	BPL	comparison	BPL	1 hat*erci	1 hat*erci	1 hat*erci	1 haġħeri	tesseract_psm6	0	token=BPL;edit=0;score=0.00		audit-only comparison	
15	28	21	3	13. palm	HTR	target	HTR	1 hat*eLi	1 hat*eLi	1 hat*eLi	1 hațgħeli	tesseract_psm6	0	token=HTR;edit=0;score=0.00		pending	
15	28	21	3	13. palm	HLH	target	HLH	1 hat*eli	1 hat*eli	1 hat*eli	1 hatteļi	tesseract_psm6	0	token=HLH;edit=0;score=0.00		pending	
15	28	21	3	13. palm	PBG	comparison	PBG	2 hat*	2 hat*	2 hat*	2 hat*	tesseract_psm6	0	token=PBG;edit=0;score=0.00		audit-only comparison	
15	28	21	3	13. palm	HIN	comparison	HIN	1 hat*eli	1 hat*eli	1 hat*eli	1 hatbħeli	tesseract_psm6	0	token=HIN;edit=0;score=0.00		audit-only comparison	
15	28	21	3	13. palm	PUN	comparison	PUN	1 tal-t	1 tal-t	1 tal-t	1 ġal-i	tesseract_psm6	0	token=PUN;edit=0;score=0.00		audit-only comparison	
16	29	22	1	Abr finger,	HRT	target						tesseract_psm6	1	site label absent from OCR		pending	
16	29	22	1	Abr finger,	HJN	target	HJN	1 ungL!	1 ungL!	1 ungL!	1 ungĻi	tesseract_psm6	0	token=HJN;edit=0;score=0.55		pending	
16	29	22	1	Abr finger,	HFT	target	HFT	1 angali	1 angali	1 angali	1 āngəli	tesseract_psm6	0	token=HFT;edit=0;score=0.00		pending	
16	29	22	1	Abr finger,	HNG	target	ING	1 onglI	1 onglI	1 onglI	1 ongĻi	tesseract_psm6	0	token=ING;edit=1;score=1.00		pending	
16	29	22	1	Abr finger,	BPL	comparison	BPL	1 ongarta	1 ongarta	1 ongarta	1 ongar'a	tesseract_psm6	0	token=BPL;edit=0;score=0.00		audit-only comparison	
16	29	22	1	Abr finger,	HTR	target	HTR	1 ang|!	1 ang|!	1 ang|!	1 angļi	tesseract_psm6	0	token=HTR;edit=0;score=0.00		pending	
16	29	22	1	Abr finger,	HLH	target	HLH	1 angalt	1 angalt	1 angalt	1 angali	tesseract_psm6	0	token=HLH;edit=0;score=0.00		pending	
16	29	22	1	Abr finger,	PBG	comparison	PBG	2 gut*1	2 gut*1	2 gut*1	2 gut*i	tesseract_psm6	0	token=PBG;edit=0;score=0.00		audit-only comparison	
16	29	22	1	Abr finger,	HIN	comparison	HIN	1 unglt	1 unglt	1 unglt	1 ungli	tesseract_psm6	0	token=HIN;edit=0;score=0.00		audit-only comparison	
16	29	22	1	Abr finger,	PUN	comparison	PUN	1 ongel!	1 ongel!	1 ongel!	1 ogg°Ħli	tesseract_psm6	0	token=PUN;edit=0;score=0.00		audit-only comparison	
17	29	22	2	17. nail	HRT	target	HRT	1 no	1 no	1 no	1 no	tesseract_psm6	0	token=HRT;edit=0;score=0.00		pending	
